,Belmont Hill,Berwick,King School,Notre Dame,Nobles,BU Academy,Berkshire Academy,Groton,Suffield,Derryfield,NMH,Brooks,BB&N,Middletown,Taft,Lyme/Old Lyme,Hopkins,Pingree,Cambridge RLS,Pomfret,Middlesex,Canterbury,St. Mary's-Lynn,St. Mark's,Choate,Worcester Academy,Medford,Dexter-Southfield,Brewster Academy,Marianapolis Prep
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU Academy,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,9.25,,,,3.2,,,,,7.2,,,,,,,,,,
Groton,11.7,,,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
Derryfield,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,
NMH,3.0,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,14.8,,,,9.0,,,3.1,,,2.5,,,,,,,,,,,,,,,,,,,
BB&N,14.31,,,,11.44,,,2.78,,,,0.9,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,11.9,,,,,,,,15.1,12.6,,,,,,,,,6.3,,,,,
Taft,,,,,,,,11.3,,,19.8,,7.4,,,1.26,4.59,,,2.0,,,,,,,,,,
Lyme/Old Lyme,,,,4.2,,,15.2,,,,18.54,,,,,,9.6,,,,,,,,,,,,,
Hopkins,23.4,,6.12,,18.3,,5.6,,,,15.21,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,29.7,28.8,,,,,,,,,,,,,,,,3.5,10.0
Cambridge RLS,23.77,,,,,,,12.0,,,17.8,15.3,3.33,,,,,,,,,,,,,,,,,
Pomfret,25.8,,,,23.8,,,10.9,,,5.19,,5.4,,,1.02,5.5,,,,,,,,,,,,,
Middlesex,30.0,,,,,,,12.3,,,,16.7,21.4,,,,,,12.4,,,,,,,,,,,
Canterbury,,,,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,50.3,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,21.43,
St. Mark's,,,,,32.1,,,19.8,,,29.0,17.2,14.2,,6.8,,,,,8.8,0.5,,,,,,,,,
Choate,49.9,,,,,,5.6,38.2,,,,35.1,,,8.8,,4.94,,,10.33,,,,,,,,,,
Worcester Academy,,39.8,,,,,,,,20.5,72.0,,,,,,,,,,,,,43.0,,,,,,
Medford,,79.29,,,,,,,,,,,,,,,,,,,,,53.46,,,33.7,,,74.89,
Dexter-Southfield,,,,,,,,,,,,,,,,,,,,,,,,,,148.4,,,132.2,
Brewster Academy,,4.61,,,61.0,,,,,,44.25,26.2,25.3,,,40.08,,,,34.93,,,,28.9,24.6,16.3,,,,
Marianapolis Prep,,,,,,,,,145.71,103.2,,,,,,,,,,,,,54.0,,,77.6,,,,
