,Belmont Hill,Brooks,Hotchkiss,Lyme/Old Lyme,Nobles,Greenwich Country Day,Berwick,Taft,Suffield,Worcester Academy,Pingree,Hopkins,NMH,Groton,Cambridge RLS,Pomfret,BB&N,Middlesex,Notre Dame,Berkshire Academy,Derryfield,Middletown,Eagle Hill,Choate,St. Mary's-Lynn,St. Mark's,Thayer,Dexter-Southfield,Frederick Gunn,Brewster Academy,Marianapolis Prep,Canterbury,Bancroft
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,0.62,,,,1.08,,,,,1.07,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,0.46,,,,5.3,2.15,,,,,,,,,,,,,,,,,,,,
Nobles,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,8.44,,,,,,,,,,,4.9,,,,,
Taft,,,,,,,,,,,,4.66,1.69,0.9,,6.9,6.4,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,23.7,,,,,,,,,,,,,,,,,,,,,,,
Worcester Academy,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,7.9,,,,,
Pingree,,,,,,,23.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Hopkins,18.7,8.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,22.2,11.0,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,
Groton,18.3,16.9,,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,17.0,,,,,,,,,,9.0,6.0,8.95,,,,2.0,,,,,,,,,,,,,,,
Pomfret,26.8,,2.63,,,,,,,,,1.9,0.76,12.3,,,,,,,,,,,,,,,,,,,
BB&N,29.22,15.5,,,,,,,,,,,,,2.0,0.5,,,,,,,,,,,,,,,,,
Middlesex,29.6,15.0,,,,,,,,,,7.0,6.11,,,,3.0,,,,,,,,,,,,,,,,
Notre Dame,,,15.8,4.92,12.8,,,5.38,,,,15.2,7.07,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,11.4,8.8,,,,3.0,,,,14.1,,,,6.78,,,19.3,,,,,,,,,,,,,,
Derryfield,,,,,,,48.5,,,32.6,,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,34.1,7.2,,,,,,,,,,,,14.1,,,31.7,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,49.1,,,,,,,,,,,,,,,40.2,,14.5,,,,,,
Choate,31.1,29.7,,4.05,,,,6.1,,,,,,12.8,,7.21,,,14.75,3.1,,,,,,,,,,,,,
St. Mary's-Lynn,44.6,,,,,,13.7,,,8.9,,25.9,27.96,,,17.8,,21.86,,,,,,,,,,18.5,,,,,
St. Mark's,,33.1,,,39.4,,,20.5,,,,,,,,27.4,17.6,21.5,26.6,,,,,,,,,,,,,,
Thayer,,,,,,,,,,34.6,,,,,71.44,,69.33,,,,,,,,25.7,,,,,,,,
Dexter-Southfield,,48.5,,,,,,38.9,,,,,,39.8,,27.5,,38.5,,,,,,,,17.0,,,,,,,
Frederick Gunn,,,33.84,,,,,33.7,,,,33.11,31.97,,,34.55,,,,30.6,,,,27.6,,,,,,10.78,,,
Brewster Academy,,52.4,,27.42,47.7,,40.1,25.69,,10.7,16.6,,,,,23.77,36.9,,38.12,16.99,,,,16.56,,19.3,,,,,,,
Marianapolis Prep,,,,,,,,,83.9,107.6,,,,,,95.7,,,,99.2,,,25.0,,,,,,,,,,
Canterbury,,,38.64,67.4,,,,,,,,72.7,36.77,,,54.56,,,,58.6,,,,47.35,,,,,20.01,30.79,,,
Bancroft,,,,,,,75.3,,,91.2,,,,,,,,,,,26.8,,20.0,,60.2,,34.5,99.1,,52.8,,,
