,Belmont Hill,Hotchkiss,Brooks,Suffield,Taft,Nobles,Lyme/Old Lyme,Cambridge RLS,Berwick,Groton,NMH,Worcester Academy,Middletown,Middlesex,BB&N,Berkshire Academy,Dexter-Southfield,Pomfret,Notre Dame,Hopkins,St. Mark's,Choate,Brewster Academy,St. Mary's-Lynn
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,6.12,,,,,,,,,,,,,,,,,,,
Brooks,12.4,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,3.89,,1.89,,,,7.89,,,,,,,,,,,,,
Taft,,,,,,,,,,10.3,5.53,,,,,,,,,,,,,
Nobles,16.27,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,1.29,,,7.41,,,,,,12.94,,,,,,,,,,,,,
Cambridge RLS,,,7.0,,,,,,,17.9,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,36.22,,,,,,,,,
Groton,24.1,,11.7,,,4.44,,,,,,,,,,,,,,,,,,
NMH,15.0,10.39,11.0,,,,,4.0,,,,,,,,,,,,,,,,
Worcester Academy,,,,,,,,,31.8,,,,,,,,11.3,,,,,,11.6,
Middletown,,17.1,,,,,19.6,,,,,,,,,,,8.7,10.9,,,,,
Middlesex,40.7,,19.0,,,,,12.0,,,10.71,,,,,,,,,,,,,
BB&N,39.67,,9.6,,5.0,24.0,,1.56,,19.56,,,,4.78,,,,0.8,,,,,,
Berkshire Academy,,17.96,,3.5,17.8,,35.9,,,,,,,,,,,8.14,2.6,29.6,,,,
Dexter-Southfield,,,22.5,,28.7,,,,18.6,39.0,,,,5.0,,,,10.4,,,,,,
Pomfret,37.5,12.46,,,4.2,,11.17,,,28.6,24.11,,,,,,,,,8.04,,,,
Notre Dame,,22.0,,0.9,20.92,34.6,18.92,,,,24.92,,,,,,,,,15.4,,,,
Hopkins,40.5,6.6,29.0,,10.54,,6.3,22.0,,,16.07,,,10.0,,,,,,,,,,
St. Mark's,,,35.5,,29.1,46.9,,,,,,,,18.0,24.1,,13.0,24.9,12.3,,,,,
Choate,68.0,36.72,55.6,13.83,34.7,,,,,43.9,,,,,,16.9,,26.9,12.93,32.53,,,,
Brewster Academy,,,50.1,18.52,34.0,89.9,32.0,,4.8,,38.0,,,,40.5,15.02,,,17.62,,43.0,4.69,,
St. Mary's-Lynn,113.8,,,,,,,,56.3,,114.43,45.5,,103.71,,,37.7,76.3,,73.3,,,,
