,Belmont Hill,Eagle Hill,Hotchkiss,Groton,St. Mary's-Lynn,Brooks,Taft,Cambridge RLS,Nobles,Berwick,Notre Dame,Berkshire Academy,NMH,Middlesex,Hopkins,Middletown,BB&N,St. Mark's,Dexter-Southfield,Pomfret,Canterbury,Choate,Frederick Gunn
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,3.86,,,,,,,,,,,,,,,,
Groton,8.1,,,,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,9.5,,,,,,,,,,,,,,,,,,,,,
Brooks,10.7,,,2.6,,,,,,,,,,,,,,,,,,,
Taft,,,,14.0,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,13.31,,7.0,,,,,,,,,,,0.67,,,,,,
Nobles,12.46,,,14.89,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,20.0,,24.6,,,,
Notre Dame,,,32.0,,,,,,,,,,,,26.7,,,,,,,,
Berkshire Academy,,,22.68,,,,19.6,,,,,,17.37,,2.1,,,,,,,,
NMH,32.0,,4.5,,,20.0,9.17,13.0,,,,,,,,,,,,,,,
Middlesex,30.0,,,,,16.0,,9.0,,,,,11.89,,,,17.56,,,,,,
Hopkins,37.6,,5.3,,,26.0,10.67,19.0,,,,,1.5,10.0,,,,,,,,,
Middletown,,,80.9,,,,,,,,,,,,,,,,,31.5,,,
BB&N,31.89,,,35.44,,26.4,4.8,,20.56,,,,,,,,,,,,,,
St. Mark's,,,,,,21.5,30.2,,41.5,,,,,12.0,,,25.4,,,,,,
Dexter-Southfield,,,,,,67.0,,,,,,,,57.5,,,,45.5,,,,,
Pomfret,48.9,,26.84,43.4,,,40.0,,,,,4.16,21.53,,20.03,,35.2,9.8,,,,,
Canterbury,,,,,,,105.0,,,,,97.0,,,74.0,,,,,,,,
Choate,53.7,,46.36,45.6,,43.0,49.7,,,,,30.0,33.54,,,,,,,25.26,,,2.8
Frederick Gunn,,,63.97,,,,46.9,,,,,27.2,51.15,,,,94.9,69.5,,59.7,,,
