,Belmont Hill,Dexter-Southfield,Notre Dame,Thayer,Taft,Nobles,Cambridge RLS,Brooks,Groton,Lyme/Old Lyme,Middletown,Brewster Academy,Berkshire Academy,Pomfret,Hotchkiss,St. Mark's,NMH,Worcester Academy,Greenwich Country Day,BB&N,Bancroft,Middlesex,Hopkins
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,
Dexter-Southfield,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,,,,,,,,,,,,,,,,
Thayer,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,7.5,,,,,,,,,,,,,,
Nobles,11.54,,,,,,,,0.89,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,7.0,10.16,,,,,,,,,,,,,,
Brooks,18.6,,,,,,,,,,,,,,,,,,,,,,
Groton,20.1,,,,,,,1.5,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,,,,5.41,,,15.37,,,,,,10.52
Middletown,,,24.4,,,,,,,,,,,11.8,,,,,,,,,
Brewster Academy,,,,,12.17,,,38.8,,,,,,,1.59,,,,,11.7,,,
Berkshire Academy,,,,,27.6,,,,,,,30.42,,14.7,32.01,,,,,,,,
Pomfret,,,,,34.2,,,,37.6,,,,,,,7.8,4.88,,,28.7,,,
Hotchkiss,,,47.8,,35.23,,,,,,23.4,,,4.6,,,1.82,,,,,,9.0
St. Mark's,,,,,26.4,57.9,,34.5,,,,,,,,,,,,20.9,,,
NMH,40.6,,,,25.75,,36.0,43.0,,,,,,,,,,,,,,,
Worcester Academy,,74.0,,76.5,,,,,,,,,,,,,,,,,,,
Greenwich Country Day,,,55.7,,,,,,,,31.3,,,,33.1,,,,,,,,42.1
BB&N,48.89,,,,5.5,39.11,5.78,27.1,40.0,,,,,,,,,,,,,,
Bancroft,,114.6,,63.1,,,,,,,,,,,,,,40.6,,,,,
Middlesex,56.2,,,,,,46.0,53.0,,,,,,,,13.5,41.79,,,19.33,,,
Hopkins,100.1,,,,34.51,,57.0,64.0,,,,,8.7,3.88,,,8.76,,,,,11.0,
