,Belmont Hill,Brooks,Groton,Suffield,Taft,Nobles,Hotchkiss,Lyme/Old Lyme,Cambridge RLS,NMH,Berwick,Worcester Academy,Middletown,Berkshire Academy,Valley Regional,Middlesex,BB&N,Dexter-Southfield,Notre Dame,St. Mark's,Hopkins,Pomfret,Choate,St. Mary's-Lynn,Brewster Academy
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,,,,,4.44,,,,,,,,,,,,,,,,,,,
Suffield,,,,,3.89,,,1.89,,7.89,,,,,,,,,,,,,,,
Taft,,,10.3,,,,,,,5.53,,,,,,,,,,,,,,,
Nobles,16.27,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,6.12,,,,,11.65,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,7.41,,1.29,,,12.94,,,,,,,,,,,,,,,
Cambridge RLS,,7.0,17.9,,,,,,,,,,,,,,,,,,,,,,
NMH,15.0,11.0,,,,,,,4.0,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,36.22,,,,,,,,
Worcester Academy,,,,,,,,,,,31.8,,,,,,,,,,,,,,11.6
Middletown,,,,,,,17.1,19.6,,,,,,,,,,,10.9,,,,,,
Berkshire Academy,,,,3.5,28.9,,17.96,,,,,,,,,,,,2.6,,13.77,8.14,,,
Valley Regional,,,,,,,,77.1,,,,,,,,,,,,,,,,,
Middlesex,40.7,19.0,,,,,,,12.0,8.0,,,,,,,,,,,,,,,
BB&N,39.67,,19.56,,,24.0,,,1.56,,,,,,,4.78,,,,,,,,,
Dexter-Southfield,,22.5,39.0,,28.7,,,,,,,,,,,5.0,,,,,,10.4,,,
Notre Dame,,,,0.9,20.92,34.6,6.2,18.92,,24.92,,,,,,,,,,,,,,,
St. Mark's,,35.5,,,,46.9,,,,,,,,,,18.0,,13.0,12.3,,,,,,
Hopkins,40.5,29.0,,,10.54,,4.42,3.13,22.0,16.07,,,,,,10.0,,,,,,,,,
Pomfret,37.5,,28.6,,18.58,,12.46,11.17,,24.11,,,,,,,,,,,8.04,,,,
Choate,,,,13.83,46.1,,36.72,,,,,,,10.33,,,,,12.93,,32.53,26.9,,,
St. Mary's-Lynn,113.8,,,,,,,,,98.8,,,,,,,,,,,73.3,76.3,,,
Brewster Academy,,,,18.52,34.0,139.9,,32.0,,38.0,28,,,15.02,,,,,17.62,93.0,,,4.69,,
