,Brooks,Derryfield,Eagle Hill,Hotchkiss,Nobles,Suffield,Groton,Winsor,NMH,Berkshire Academy,St. Mark's,Frederick Gunn,Middlesex,Middletown,Cambridge RLS,BB&N,Pingree,Thayer,St. Mary's-Lynn,Greenwich Academy,Taft,Miss Porter's,Choate,Newton Country Day,Lyme/Old Lyme,Greenwich Country Day,Hopkins,Brewster Academy,Worcester Academy,Sacred Heart,Canterbury,Berwick,Pomfret,Dexter-Southfield,Marianapolis Prep
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,4.3,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,,,,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,17.8,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,11.05,,,,,15.05,,,,,,,,,,,,1.4,,,,,,,,,,,,,,
St. Mark's,13.8,,,,9.2,,,7.5,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,
Frederick Gunn,,,,,,,,9.7,7.83,2.7,2.2,,,,,5.2,,,,,4.1,,1.3,,,,,,,,,,,,
Middlesex,23.3,,,,,,,,5.5,,5.7,,,,,,,,,,,,,,,,1.3,,,,,,,,
Middletown,,,,26.9,,,,,,,,,,,,,,,,,,9.3,,,6.7,,,,,,,,11.0,,
Cambridge RLS,24.5,,,,,,11.85,6.46,6.7,,,,1.2,,,1.2,,,,,,,,,,,2.5,,,,,,,,
BB&N,11.5,,,,17.78,,14.11,4.5,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,,,,,
Thayer,,,,,,,,,,,,,,,,61.11,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,31.07,,,,,,,,,,,,,,,17.14,,,11.8,,,,,,3.0,,
Greenwich Academy,,,,10.5,,,,23.33,,11.2,,,,,,18.44,,,,,,,,,,,,,,,,,,,
Taft,,,,1.45,,,17.8,18.0,5.45,,10.5,,,,,13.5,,,,,,,,,,,,,,,,,,,
Miss Porter's,,,,,,,,17.0,,7.7,9.5,5.0,,,,12.5,,,,,9.2,,6.3,,,,,,,,,,,,
Choate,21.1,,,5.7,,,16.8,9.58,9.7,1.5,,,,,3.12,,,,,,2.9,,,,,,,,,,,,,,
Newton Country Day,,,,,34.9,,,,13.93,,25.7,,5.0,,,,,,,,,,,,,,,12.3,,,,,,,
Lyme/Old Lyme,,,,,,,,,25.0,23.3,,10.19,,,,,,,,12.1,20.38,,,,,,1.9,4.82,,,,,,,
Greenwich Country Day,,,,32.0,,,,,,,,,,13.8,,,,,,21.5,,23.1,,,,,14.0,,,,,,,,
Hopkins,22.0,,,18.1,,,,,20.0,21.4,,,,,,,,,,7.5,14.55,,10.3,,,,,,,,,,,,
Brewster Academy,32.0,,,9.72,22.6,,,,,,18.2,5.37,,,,20.5,,,,,,,8.12,,,,3.23,,,,,,,,
Worcester Academy,,31.6,,,,1.5,,,,,,,,,,,,,41.6,,,,,,,,,51.5,,1.6,,,,61.6,
Sacred Heart,,29.9,,56.2,,,,,,,,,,,,,,,,45.7,,,,48.21,,24.2,38.2,,,,,,,,
Canterbury,,,,40.84,,,,,,54.0,,28.0,,,,,,,,42.8,,,39.24,,30.7,,32.6,22.63,,,,,3.1,,
Berwick,,52.5,,,,,,,,,,,,,,86.67,1.8,,51.4,,,,,,,,,57.1,21.0,22.6,,,,30.3,
Pomfret,,,,37.89,,,37.9,28.0,17.3,27.2,20.5,18.3,,,,23.5,,,,,10.0,11.0,36.29,,14.71,,31.4,19.53,,,,,,,
Dexter-Southfield,95.6,,,,,,45.3,,,,84.0,,78.3,,,,,,21.1,,27.5,,,,,,,,,,,,7.4,,
Marianapolis Prep,,,20.0,,,80.8,,,,106.5,,,,,,,,,,,,,,,,,,,79.3,,,,79.3,,
