,Brooks,NMH,Nobles,Berkshire Academy,Choate,Pingree,Miss Porter's,Derryfield,Cambridge RLS,Hotchkiss,Groton,BB&N,Taft,Middlesex,Winsor,Suffield,St. Mark's,Middletown,Greenwich Country Day,Lyme/Old Lyme,Newton Country Day,St. Mary's-Lynn,Dexter-Southfield,Sacred Heart,Greenwich Academy,Hopkins,Frederick Gunn,Pomfret,Canterbury
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,2.84,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,
Choate,,0.37,,,,,,,,,,,,,5.19,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,
Miss Porter's,,,,,,,,,,,,10.5,3.5,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,
Cambridge RLS,8.7,8.7,,,2.08,,,,,,,,,,7.27,,,,,,,,,,,,,,
Hotchkiss,,10.36,,7.52,9.99,,,,,,,,1.04,,,,,,,,,,,,,,,,
Groton,,,23.22,,,,,,5.32,,,5.44,,,,,,,,,,,,,,,,,
BB&N,,,17.78,,,,,,16.8,,,,,,,,,,,,,,,,,,,,
Taft,,9.32,,6.48,8.95,,,,,,12.3,7.0,,,,,,,,,,,,,,,,,
Middlesex,15.1,15.1,,,,,,,6.4,,,10.3,,,,,,,,,,,,,,,,,
Winsor,,,16.27,,,,6.7,,,,,17.2,10.2,,,,2.4,,,,,,,,,,,,
Suffield,,,,23.89,27.89,,,,,,,,,,,,,,,,,,,,9.08,,,,
St. Mark's,11.4,,23.0,,,,4.3,,,,,14.8,7.8,7.2,,,,,,,,,,,,,,,
Middletown,,,,,,,22.6,,,43.1,,,,,,,,,1.7,1.5,,,,,,,,,
Greenwich Country Day,,,,,,,20.9,,,,,,,,,,,,,,,,,17.68,59.57,,,,
Lyme/Old Lyme,,,,39.5,36.09,,,,,,,,,,,1.87,,,,,,,,,20.7,6.7,,,
Newton Country Day,,,54.1,,,,,,,,,16.0,,5.7,,,31.1,,,,,,,,,,,,
St. Mary's-Lynn,,64.6,,,,,,,,,,,,,,,,,,,,,,,,36.4,,21.5,
Dexter-Southfield,None,,,,,,,,,,58.5,,46.2,None,,,None,,,,,,,,,,,34.3,
Sacred Heart,,,,,,,,,,,,,,,,,,,,,109.39,,,,41.89,,,,
Greenwich Academy,,33.0,,18.8,32.63,,,,,22.64,,16.44,23.68,,29.0,,,,,,,,,,,,,,
Hopkins,34.0,24.11,,32.8,,,,,25.3,19.49,,,14.31,18.9,,3.97,,,,,,,,,14.0,,,,
Frederick Gunn,,40.39,,,,,59.6,,,35.77,,70.1,63.1,,52.9,13.47,55.3,,,11.6,,,,,,9.5,,7.4,
Pomfret,,35.83,,31.8,,,52.2,,,31.21,24.2,62.7,55.7,,45.5,20.04,47.9,,,18.17,,,,,,16.07,,,
Canterbury,,,,125.0,129.0,,,,,,,,,,,101.0,,,,99.13,,,,,110.19,97.03,87.53,80.96,
