,Cambridge RLS,Miss Porter's,Nobles,Hotchkiss,Brooks,Berkshire Academy,Choate,Winsor,Middlesex,St. Mark's,Groton,BB&N,Taft,NMH,Frederick Gunn,Newton Country Day,Brewster Academy,Hopkins,Greenwich Academy,St. Mary's-Lynn,Middletown,Sacred Heart,Lyme/Old Lyme,Pomfret
Cambridge RLS,,,,,,,,,,,,,,,,,,,,,,,,
Miss Porter's,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,1.73,,,,,,,,,,,,,,,,,
Brooks,4.7,,,,,,2.2,,,,4.7,,,,,,,,,,,,,
Berkshire Academy,,,,3.33,,,8.4,,,,,,,1.07,,,,,,,,,,
Choate,9.69,,,,,,,5.65,,,2.5,,,,,,,,,,,,,
Winsor,4.04,,14.88,,,,,,,,,,,,,,,,,,,,,
Middlesex,12.9,,,,8.2,,,,,,,3.3,,,,,,,,,,,,
St. Mark's,,,24.6,,3.4,,,10.0,10.7,,,,,,,,,,,,,,,
Groton,13.31,,31.56,,,,,,,,,6.67,,,,,,,,,,,,
BB&N,24.0,,24.89,,8.5,,,9.0,,5.1,,,,,,,,,,,,,,
Taft,,,,11.35,,3.7,12.1,12.8,,2.8,17.1,3.8,,9.09,,,,,,,,,,
NMH,27.3,,,5.36,22.6,,3.99,,14.4,,,,,,,,,,,,,,,
Frederick Gunn,,,,,,29.3,37.7,,,,,,25.6,,,,,,,,,,,
Newton Country Day,,,44.2,,,,,,23.8,19.6,,27.1,,23.57,,,,,,,,,,
Brewster Academy,,,,,,,,,,,,,46.35,53.47,,,,35.93,22.1,,,,,
Hopkins,39.6,,,14.7,34.9,1.0,23.0,,26.7,,,,9.92,19.01,,,,,,,,,,
Greenwich Academy,,,,19.1,,22.0,,37.22,,,,33.0,24.25,31.37,,,,4.4,,,,,,
St. Mary's-Lynn,,,,,,,,,,,,,,97.5,,73.93,,,,,,,,
Middletown,,17.4,,90.4,,,,,,,,,,,,,,,,,,,16.9,50.4
Sacred Heart,,,,36.0,,,,,,,,,,,,145.5,,21.3,16.9,,,,,
Lyme/Old Lyme,,,,45.0,,72.8,58.0,,,,,,,,,,,71.9,50.8,,,,,21.0
Pomfret,,,,24.0,,30.0,37.0,52.8,,42.8,17.8,43.8,40.0,28.2,,,,6.3,,,,,,
