,Nobles,Pingree,Brooks,Choate,Hotchkiss,Middletown,Winsor,Cambridge RLS,BB&N,NMH,Berkshire Academy,Greenwich Country Day,St. Mary's-Lynn,Middlesex,Lyme/Old Lyme,Groton,Hopkins,Newton Country Day,Taft,Frederick Gunn,Greenwich Academy,Pomfret,St. Mark's,Canterbury
Nobles,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,0.9,,,,,,,,,,,,,,,,
Choate,,,7.2,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,11.89,,,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,,,,,18.1,,
Winsor,25.04,,,1.04,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,16.62,,,15.58,,,,,,,,,,,,,,,,,
BB&N,5.67,,0.1,,,,17.1,10.8,,,,,,,,,,,,,,,,
NMH,,,9.7,7.54,5.36,,,10.6,,,,,,,,,1.41,,,,,,,
Berkshire Academy,,,,19.5,16.7,,,,,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,42.9,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,57.0,,,,,,,,,,,,,,,,,,,,,,
Middlesex,,,22.6,,,,,23.5,2.2,12.9,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,33.0,,,,,,,31.0,,22.0,,,,,
Groton,28.11,,22.4,15.2,,,,6.53,22.44,,,,,,,,,,,,,,,
Hopkins,,,35.3,6.13,6.4,,,36.2,,,7.5,,,12.7,,,,,,,,,,
Newton Country Day,51.1,,,,,,,,32.8,,,,,30.6,,,,,,,,,,
Taft,,,,8.0,6.11,,31.8,,14.7,10.46,5.2,,,,,35.5,11.87,,,,,,,
Frederick Gunn,,,,70.93,66.19,,,,,,,,,,,,,,,,,9.4,,
Greenwich Academy,,,,,60.6,,52.11,,25.78,,30.7,,,,,,54.2,,,,,,,
Pomfret,,,,61.53,56.79,,49.1,,32.0,,32.1,,,,,85.0,,,17.3,,,,,
St. Mark's,57.7,,56.4,,,,77.3,,56.3,,,,,7.7,,,,6.6,45.5,,,28.2,,
Canterbury,,,,,,,,,,108.0,129.7,,,,75.0,,122.2,,97.0,,99.0,,,
