,Lyme/Old Lyme,Nobles,Cambridge RLS,Miss Porter's,Choate,Middlesex,Groton,BB&N,Brooks,NMH,Winsor,St. Mark's,Canterbury,Taft,Hopkins
Lyme/Old Lyme,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,1.2,,,,,,,
Miss Porter's,,,,,,,,8.5,,,,,,,
Choate,,,12.46,,,,,,,,,,,,
Middlesex,,,27.0,,,,,,,,,,,,
Groton,,,27.46,,,,,,,,,,,,
BB&N,,29.56,,,,,,,,,,,,,
Brooks,,,28.0,,5.6,1.0,,,,,,,,,
NMH,,,,,,,,,,,,,,,37.7
Winsor,,,21.23,0.8,8.77,,,9.3,,,,,,,
St. Mark's,,,,17.3,,,,25.8,,,16.5,,,,
Canterbury,42.5,,,,,,,,,,,,,,32.4
Taft,,,,50.4,,,,58.9,,,49.6,33.1,,,
Hopkins,10.2,,82.0,,,55.0,,,54.0,,,,,,
