,Eagle Hill,Nobles,Taft,Cambridge RLS,Belmont Hill,Pingree,Medford,Hotchkiss,Brooks,Berkshire Academy,Berwick,BU Academy,Derryfield,Middletown,E.O. Smith,Groton,Lyme/Old Lyme,Choate,St. Mary's-Lynn,NMH,Dexter-Southfield,Bancroft,Middlesex,Greenwich Country Day,BB&N,Marianapolis Prep,Notre Dame,Worcester Academy,Suffield,Pomfret,Thayer,Frederick Gunn,Hopkins,Brewster Academy,St. Mark's,Canterbury
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Hill,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Medford,,,,,,,,,,,0.9,,,,,,,,5.2,,,,,,,,,,,,,,,,,
Hotchkiss,,5.68,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,3.6,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,1.4,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,
BU Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55,,,,,,,
Derryfield,,,,,,,,,,,11.3,,,,,,,,4.7,,,,,,,,,,,,,,,5.8,,
Middletown,,,,,,,,,,18.7,,,,,,,4.4,,,,,,,,,,3.2,,,,,,,,,
E.O. Smith,,,,,,,,,,,,,,7.6,,,20.8,,,,,,,,,,,,,,,,,,,
Groton,,13.56,1.4,7.26,9.5,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,8.3,,21.46,,,,,,,,4.8,,,,,,,,,,,,,,,,,,
Choate,,,11.8,,,,,3.5,,10.4,,,,,,,,,,10.5,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,31.9,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,
NMH,,5.68,,10.7,18.4,,,0.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter-Southfield,,,20.4,25.15,,,,,14.9,,,,,,,19.0,,,,,,,4.9,,,,,,,,,,,,,
Bancroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,63.9,,
Middlesex,,,,20.7,21.7,,,,23.8,,,,,,,14.16,,3.2,,10.0,,,,,7.9,,,,,,,,,,,
Greenwich Country Day,,,,,,,,,,,,,,1.4,,,46.1,,38.65,,,,,,,,4.6,,,,,,21.2,,,
BB&N,,23.2,10.5,24.44,26.78,,,,19.6,,,,,,,19.11,,,,,,,,,,,,,,,,,,,,
Marianapolis Prep,,,,,,,,,,,,,,,,,,,81.35,,,,,42.69,,,,,,,11.31,,,,,
Notre Dame,,28.1,25.4,,,,,31.6,,18.5,,,,,,,,,,27.8,,,,,,,,,,,,,13.7,,,
Worcester Academy,20.0,,,,,,34.4,,,,35.3,,18.1,,,,,,22.8,,,,,,,,,,,,,,,23.9,,
Suffield,,,,,,,,46.3,,,,,,,,,38.1,42.9,,,,,,,,,,,,,,,19.6,17.5,,
Pomfret,,,59.4,,,,,,,,,,,,,,,,,,,,,,48.9,,,,,,,23.5,,,36.3,
Thayer,,,,,,14.0,,,,,35.3,,24.0,,9.8,,,,20.0,,,,,31.38,,,,5.9,,,,,,29.8,,
Frederick Gunn,,,26.5,,,,,,,25.2,,,,,,,20.6,14.8,,42.4,,,,,25.4,,14.6,,,,,,,,12.8,
Hopkins,,34.8,,25.27,42.1,,,17.9,,,,,,,,,18.4,23.3,10.2,23.7,0.12,,,,,,,,,,,,,,,
Brewster Academy,,,,,,,,28.9,43.7,,7.9,,,,,,20.6,25.4,18.8,,28.8,,33.7,,,,,,,,,,2.1,,13.3,
St. Mark's,,30.4,23.1,,,,,26.7,26.8,,,,,,,,,25.0,,35.5,15.5,,20.4,,7.2,,14.2,,,,,,7.5,,,
Canterbury,,,124.1,,,,,,,61.38,,,,,,,39.92,,,126.5,,,,,,,98.7,,31.7,,,84.1,,,,
