,Belmont Hill,Greenwich Country Day,Pingree,Suffield,Taft,Berwick,Thayer,BU Academy,Berkshire Academy,Lyme/Old Lyme,Medford,Nobles,Brooks,E.O. Smith,Hotchkiss,Cambridge RLS,Groton,Dexter-Southfield,NMH,Choate,BB&N,Brewster Academy,Worcester Academy,Frederick Gunn,Middlesex,Notre Dame,Middletown,Canterbury,Hopkins,St. Mary's-Lynn,St. Mark's
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,
Thayer,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU Academy,,,,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,4.2,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,
Medford,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,6.9,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,
E.O. Smith,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,,,,,,19.82,,,,,,,4.18,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,,,,,15.7,,,,9.44,,4.4,,,,,,,,,,,,
Groton,21.1,,,,0.7,,,,,,,11.33,14.2,,,,,,,,,,,,,,,,,,
Dexter-Southfield,,,,,16.2,,,,,,,,8.8,,,15.23,15.5,,,,,,,,,,,,,,
NMH,31.3,,,,,,,,,,,15.64,11.3,,,,,,,,,,,,,,,,,,
Choate,,,,,25.5,,,,21.3,,,,,,,,,,7.8,,,,,,4.7,,,,,,
BB&N,15.33,,,,11.4,,,,,,,23.3,18.6,,,9.0,18.78,,,,,,,,,,,,,,
Brewster Academy,,,,,,,,,,,,,50.4,,,,,41.6,,,,,,,18.1,,,,,,
Worcester Academy,,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,
Frederick Gunn,,,,,37.8,,,,,46.6,,,,,,,,,,,26.4,,,,,,,,,,1.4
Middlesex,34.3,,,,,,,,,,,,24.8,,,9.1,22.8,23.5,13.5,,8.8,,,,,,,,,,
Notre Dame,,10.0,,,,,,,,,,57.6,,,38.6,,,,,,,,,,,,5.2,,22.3,,8.6
Middletown,,4.8,,,,,,,75.6,47.1,,,,18.5,,,,,,,,,,,,,,,,,
Canterbury,,,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,76.6,,,,,,,,,42.4,,51.0,,,16.3,34.85,,19.73,45.3,,,,,,,,,,,,2.0
St. Mary's-Lynn,98.5,,13.0,,,21.3,10.0,,,,,,,34.4,,,,,67.2,,,24.1,,,,,,,21.9,,
St. Mark's,,,,,36.4,,,,,,,49.1,44.4,,31.1,,,54.7,33.6,25.8,25.8,13.1,,,31.2,,,,,,
