,Berwick,Nobles,Belmont Hill,Lyme/Old Lyme,Taft,Hotchkiss,Derryfield,Brooks,Groton,Cambridge RLS,Choate,Medford,E.O. Smith,Pomfret,BB&N,Dexter-Southfield,Berkshire Academy,NMH,Middletown,Hopkins,Middlesex,St. Mark's
Berwick,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,
Belmont Hill,,0.58,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,,,,,,,,,,2.7,,
Taft,,,,,,,,,2.7,,,,,,,,,,,,,
Hotchkiss,,12.21,,,,,,,,,,,,,,,,,,,,
Derryfield,12.9,,,,,,,,,,,,,,,,,,,,,
Brooks,,8.1,5.4,,,,,,,,,,,,,,,,,,,
Groton,,8.44,6.5,,,,,1.1,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,10.9,8.95,,,,,,,,,,,,,
Choate,,,,,11.5,,,,,,,,,,,,7.2,13.6,,,2.8,
Medford,38.3,,,,,,,,,,,,,,,,,,,,,
E.O. Smith,,,,46.5,,,,,,,,,,,,,,,,,,
Pomfret,,,42.3,,,,,,,,,,,,,,,15.1,,0.4,,
BB&N,,18.3,23.78,,1.7,,,10.2,20.89,9.89,,,,,,,,,,,,
Dexter-Southfield,,,,,20.2,,,23.1,22.9,19.5,,,,,,,,,,,,
Berkshire Academy,,,,15.92,4.3,71.4,,,,,,,,,,,,,,,,
NMH,,12.64,27.2,,,0.43,,34.3,,23.4,,,,,,,,,,,,
Middletown,,,,56.4,,,,,,,,,18.5,,,,36.4,,,,,
Hopkins,,50.5,41.9,,,32.1,,,,35.42,,,,,,15.92,,14.7,,,,
Middlesex,,,37.2,,,,,62.4,23.88,51.5,,,,,10.0,4.6,,28.1,,,,
St. Mark's,,29.2,,,23.6,64.9,,21.1,,,40.1,,,,10.9,35.1,,53.7,,28.5,30.5,
