,Belmont Hill,Cambridge RLS,Nobles,Lyme/Old Lyme,Groton,Taft,Choate,Hotchkiss,Brooks,Canterbury,NMH,BB&N,Frederick Gunn,Dexter-Southfield,Middlesex,St. Mark's,Hopkins
Belmont Hill,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,,,,,,,,,
Nobles,8.77,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,2.1,,,,10.9,,,,,,
Groton,0.6,12.7,0.56,,,,,,,,,,,,,,
Taft,,,,,16.0,,,,,,,,,,,,
Choate,,,,,,14.4,,,,,8.8,,,,,,
Hotchkiss,,,24.11,,,5.8,,,,,,,,,,,
Brooks,9.6,7.2,4.5,,9.0,,,,,,,,,,,,
Canterbury,,,,86.54,,,,,,,,,,,,,
NMH,49.7,29.6,26.04,,,,,1.93,22.4,,,,,,,,
BB&N,35.89,3.33,34.1,,27.89,11.2,,,29.6,,,,,,,,
Frederick Gunn,,,,,,43.4,29.0,71.1,,,,,,,,,18.7
Dexter-Southfield,,50.65,,,37.7,21.7,,,42.8,,,,,,15.3,,
Middlesex,43.6,42.9,,,23.4,,3.5,,35.7,,13.3,13.8,,,,,
St. Mark's,,,66.4,,,45.8,,21.7,61.9,,,32.3,,45.9,61.2,,
Hopkins,113.1,56.65,112.6,26.3,,58.2,,32.7,,,63.4,,,5.88,,54.4,
