,Nobles,Thayer,Brooks,Berkshire Academy,Derryfield,Greenwich Country Day,Choate,Taft,St. Mark's,Cambridge RLS,Berwick,Sacred Heart,Groton,Hotchkiss,Medford,NMH,BU Academy,Greenwich Academy,Winsor,Suffield,Pingree,Middletown,Middlesex,E.O. Smith,Dexter-Southfield,Miss Porter's,St. Mary's-Lynn,BB&N,Pomfret,Lyme/Old Lyme,Hopkins,Worcester Academy,Newton Country Day,Brewster Academy,Canterbury,Frederick Gunn
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,3.4,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,
Greenwich Country Day,,,,,,,,,,,,4.29,,,,,,6.32,,,,,,,,,,,,,,,,,,
Choate,,,,,,,,,0.9,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,
Taft,,,,0.5,,,3.9,,6.6,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,
St. Mark's,8.4,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,6.69,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,0.7,,
Sacred Heart,,,,13.85,,,,,,,,,,,,,,5.88,,,,,,,,,,,,,,,5.88,,,
Groton,10.11,,12.3,,,,,,,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,11.68,,,4.1,,,,6.8,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford,,,,,,,,,,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,14.04,,15.3,,,,,,5.3,6.9,,,,2.36,,,,,,,,,,,,,,,,,,,,,,
BU Academy,,,,,,,,,,,,,,,,,,,,47.17,,,,,,,,,,,,,,,,
Greenwich Academy,,,,12.2,,,15.6,11.7,,,,,,,,17.6,,,3.56,,,,,,,,,,,,,,,,,
Winsor,24.92,,,,,,6.89,2.9,9.5,18.23,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,
Pingree,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,
Middletown,,,,34.5,,21.8,,,,,,,,,,,,,,,,,,,,,,,19.8,3.5,,,,,,
Middlesex,,,23.7,,,,12.3,,23.4,15.3,,,,,,8.4,,,,,,,,,,,,,,,,,,,,
E.O. Smith,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,28.2,,,68.1,,,,,,
Dexter-Southfield,,,35.1,,,,,19.1,30.8,22.04,,,21.2,,,,,,,,,,7.4,,,,,,0.8,,1.62,,3.96,,,
Miss Porter's,,,,31.5,,,34.9,31.0,17.7,,,,,9.3,,,,19.3,8.2,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,7.2,13.96,,,,,,,,,,57.8,,,,,,,,,,,,,40.4,,35.1,,,,,
BB&N,25.8,,22.4,,,,,19.5,17.4,18.22,,,14.56,,,,,6.44,16.6,,,,16.73,,,8.4,,,,,,,,,,
Pomfret,,,,14.7,,,,24.3,30.9,,,,20.4,22.6,,17.4,,,21.4,,,,,,,13.2,,4.8,,,,,,,,
Lyme/Old Lyme,,,,26.08,,18.7,33.1,,,,,12.23,,,,43.8,,18.12,,,,,,,,25.3,,,,,0.6,,,,,
Hopkins,36.2,,,,,18.1,,29.8,35.0,20.42,,,,24.1,,22.7,,,,,,,,,,13.6,,,0.3,,,,0.7,,,
Worcester Academy,,,,,69.9,,,,,,43.5,,,,7.3,,,,,,,,,,,,62.7,,,,,,,76.6,,
Newton Country Day,35.5,,39.5,,,,40.0,,34.3,,,,27.2,22.6,,,,,33.22,,,,26.77,,,,,10.04,,,,,,,,
Brewster Academy,,,52.6,48.2,,,39.5,,48.3,,,,,,,50.2,,32.5,,,,,24.9,,17.5,,5.8,,,6.3,,,,,,
Canterbury,,,,63.81,,,,,,,,49.96,,,,,,55.85,,,,,,,,80.3,,,,37.73,,,,,,49.9
Frederick Gunn,,,,46.4,,,49.8,45.9,43.6,,,,,59.1,,,,34.2,34.1,,,,,,,14.9,,17.5,12.7,5.1,36.1,,,,,
