,Berkshire Academy,Brooks,Suffield,Thayer,Choate,Nobles,Berwick,Derryfield,Groton,Winsor,Cambridge RLS,Hotchkiss,Taft,Greenwich Academy,St. Mark's,Middlesex,Sacred Heart,Miss Porter's,BB&N,NMH,Middletown,Lyme/Old Lyme,Hopkins,St. Mary's-Lynn,Canterbury,Newton Country Day,Dexter-Southfield,Pomfret,Brewster Academy
Berkshire Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choate,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,9.7
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
Groton,,7.2,,,,7.44,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,,,,14.78,6.35,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,11.6,,,,10.27,,,1.33,3.92,,,,,,,,,,,,,,,,,,,
Hotchkiss,13.2,,,,,9.64,,,,,,,,,7.8,,,,,,,,,,,,,,
Taft,9.8,,,,4.4,,,,3.2,10.1,,7.7,,,,,,,,5.7,,,,,,,,,
Greenwich Academy,19.5,,,,14.1,,,,,7.11,,,9.7,,,,,6.0,,,,,,,,,,,
St. Mark's,,16.8,,,21.3,7.9,,,,11.2,,,1.1,,,,,,1.8,1.2,,,,,,,,,
Middlesex,,21.1,,,13.9,,,,,,9.5,,,,3.4,,,,13.5,,,,,,,,,,
Sacred Heart,31.5,,,,,,,,,,,,,19.04,,,,,,,,,,,,13.92,,,
Miss Porter's,13.5,,,,8.0,,,,,24.9,,,3.7,,13.7,,,,7.1,,,,,,,,,,
BB&N,,15.0,,,,6.1,,,5.89,17.8,7.67,,7.7,11.33,,,,,,,,,,,,,,,
NMH,,26.1,,,20.1,10.07,,,,,14.5,0.43,,,,5.0,,,,,,,,,,,,,
Middletown,56.6,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,17.6,
Lyme/Old Lyme,36.35,,,,,,,,,,,,,23.88,,,4.85,,,,,,24.0,,,,,,
Hopkins,,,,,,32.7,,,,,28.04,11.1,10.7,,31.5,,,,,16.4,,,,,,2.2,,,
St. Mary's-Lynn,,,,25.0,,,10.2,4.8,,,,,,,,,,,,84.3,,,61.8,,,,,46.3,19.9
Canterbury,86.42,,26.9,,,,,,,,,,,73.96,,,54.92,,,,,50.08,,,,,,,
Newton Country Day,,38.9,,,56.11,30.5,,,31.7,41.33,,21.5,,,29.3,15.58,,,29.08,,,,,,,,,,
Dexter-Southfield,,,,,,,,,71.7,,56.19,,68.5,,,,,,,,,,28.15,,,55.08,,42.3,
Pomfret,39.0,,,,,,,,29.4,48.3,,35.9,38.2,,37.1,,,23.4,30.5,34.0,,,17.5,,,,,,
Brewster Academy,,43.3,,,,,,,,,,155.9,148.2,,30.3,26.9,,,,153.9,,,137.5,,,,,119.9,
