,Brooks,Choate,Lyme/Old Lyme,Nobles,Cambridge RLS,Middlesex,Taft,Middletown,Berkshire Academy,BB&N,Groton,Hotchkiss,Winsor,Hopkins,Newton Country Day,St. Mark's,Sacred Heart,Greenwich Academy,NMH,Miss Porter's,Canterbury,Pomfret,Frederick Gunn
Brooks,,,,,,,,,,,,,,,,,,,,,,,
Choate,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,,,,,,,,,,,,,
Nobles,4.3,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,8.0,,,8.42,,5.8,,,,,,,,,,,,,,,,,
Middlesex,2.2,22.2,,,,,,,,4.62,,,,,,,,,,,,,
Taft,,11.3,,,,,,,3.6,6.5,,,11.5,,,,,4.5,,,,,
Middletown,,,5.7,,,,,,21.4,,,,,,,,,,,,,21.2,
Berkshire Academy,,7.7,,,,,,,,,,42.5,,,,,,0.9,,,,,
BB&N,8.5,,,4.2,30.78,,,,,,,,5.0,,,,,5.33,,,,,
Groton,11.2,,,7.33,23.47,,3.8,,,12.22,,,,,,,,,,,,,
Hotchkiss,,,,38.25,,,,,,,,,,,,4.0,,,17.68,,,,
Winsor,,31.33,,24.58,16.15,,,,,,,,,,,,,4.67,,,,,
Hopkins,,,,30.8,26.88,,,,,,,16.8,,,,16.9,,,,,,,
Newton Country Day,15.6,,,,,39.58,,,,44.08,4.4,,,,,,,,,,,,
St. Mark's,32.5,4.2,,28.2,,3.6,2.7,,,24.0,,,14.2,,,,,,,,,,
Sacred Heart,,,,,,,,,51.35,,,,,,50.16,,,34.27,,,,,
Greenwich Academy,,6.8,,,,,,,,,,29.2,,56.3,,,,,46.3,,,,
NMH,35.0,15.5,,20.57,27.0,32.8,,,,,,,,10.1,,11.3,,,,,,,
Miss Porter's,,13.5,,,,,2.2,,5.8,9.8,,21.1,14.8,48.1,,0.6,,6.7,38.1,,,,
Canterbury,,124.0,,,,,132.9,,99.8,,,,,,,,,,,,,61.1,
Pomfret,,62.9,,,,,33.2,,38.7,39.7,38.9,,44.7,62.1,,30.5,,,70.5,29.9,,,
Frederick Gunn,,,95.5,,,,71.0,,,77.5,,,82.5,,,68.3,,,,67.7,,37.8,
