,Choate,Nobles,Brooks,Middletown,BB&N,Cambridge RLS,Hopkins,Taft,Greenwich Academy,Hotchkiss,NMH,Middlesex,Groton,Lyme/Old Lyme,Winsor,St. Mark's,Frederick Gunn,Berkshire Academy,Pomfret,Canterbury
Choate,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,
Brooks,,0.6,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,3.9,,
BB&N,,4.8,4.2,,,,,,,,,,,,,,,,,
Cambridge RLS,,16.04,15.3,,8.56,,,,,,3.1,,,,,,,,,
Hopkins,,34.1,,,,11.19,,,,,,,,,,,,,,
Taft,1.3,,,,13.7,,13.7,,,,,,,,12.3,6.4,,,,
Greenwich Academy,13.9,,,,7.78,,20.0,12.7,,,,,,,,,,,,
Hotchkiss,9.6,34.93,,,,,11.5,,,,,,,,,,,,,
NMH,20.6,35.89,12.2,,,,4.0,,,0.96,,,,,,,,,,
Middlesex,15.6,,23.0,,16.73,7.7,,,,,10.8,,,,,,,,,
Groton,,23.56,20.9,,10.67,12.1,,13.5,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,52.7,39.1,26.65,,,,,,,,,16.27,,
Winsor,12.22,70.5,,,1.4,54.46,,,19.0,,,,,,,,,,,
St. Mark's,7.2,38.4,37.8,,33.6,,16.0,,,5.5,19.7,,,,5.9,,,,,
Frederick Gunn,76.8,,,,,,,,,67.2,56.2,,,,,,,,,
Berkshire Academy,130.9,,,,,,,115.5,10.38,,,,,,,,,,,
Pomfret,,,,34.9,71.0,,,57.3,,,,,70.3,,69.6,63.7,,38.8,,
Canterbury,110.7,,,,,,,,77.19,101.1,90.1,,,50.54,,,33.9,66.81,,
