,Choate,Nobles,BB&N,Cambridge RLS,Groton,Middlesex,Winsor,Brooks,Taft,Miss Porter's,Hopkins,Frederick Gunn,St. Mary's-Lynn,NMH,Pomfret
Choate,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,
BB&N,,,,5.44,,,,,,,,,,,
Cambridge RLS,,6.12,,,,,,,,,,,,,
Groton,,,,10.65,,,,,,,,,,,
Middlesex,13.4,,,2.5,,,,,,,,,,,
Winsor,11.22,,15.8,,,,,,,,,,,,
Brooks,,,,22.6,,20.1,,,,,,,,,
Taft,,,34.9,,,,19.1,,,,,,,,
Miss Porter's,,,47.5,,,,31.7,,12.6,,,,,,
Hopkins,,,,54.58,,,,,,,,,,38.8,
Frederick Gunn,,,56.6,,,,40.8,,21.7,9.1,,,,,
St. Mary's-Lynn,,,,,,,,,,,69.2,,,108.0,
NMH,,39.64,,61.7,,59.2,,39.1,,,,,,,
Pomfret,,,80.1,,,,64.3,,45.2,32.6,,23.5,,,
