,Belmont Hill,Berwick,King School,Notre Dame,Nobles,Pingree,Middletown,BU Academy,Berkshire Academy,Groton,Suffield,Derryfield,NMH,BB&N,Brooks,Lyme/Old Lyme,Hopkins,Pomfret,Taft,Cambridge RLS,St. Mary's-Lynn,Middlesex,St. Mark's,Choate,Worcester Academy,Brewster Academy,Medford,Marianapolis Prep
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
Middletown,,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,
BU Academy,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,,9.25,,,,,7.2,,,,,,,,,,
Groton,11.7,,,,8.67,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
Derryfield,,19.3,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
NMH,3.0,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,
BB&N,14.31,,,,11.44,,,,,2.78,,,,,,,,,,,,,,,,,,
Brooks,14.8,,,,9.0,,,,,3.1,,,2.5,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,4.2,,,,,15.2,,,,18.54,,,,9.6,,,,,,,,,,,
Hopkins,23.4,,6.12,,,,,,5.6,,,,15.21,,,,,,,,,,,,,,,
Pomfret,25.8,,,,,,,,,10.9,,,5.19,5.4,,1.02,2.4,,,,,,,,,,,
Taft,,,,,,,,,10.55,11.3,,,19.8,7.4,,1.26,4.59,2.0,,,,,,,,,,
Cambridge RLS,23.77,,,,,,,,,12.0,,,17.8,3.33,15.3,,,,,,,,,,,,,
St. Mary's-Lynn,,26.14,,,,,,,,,,,,,,,,,,,,,,,42.1,21.43,,
Middlesex,30.0,,,,,,,,,12.3,,,,21.4,16.7,,,,,12.4,,,,,,,,
St. Mark's,,,,,32.1,,,,,,,,29.0,14.2,17.2,,,8.8,6.8,,,0.5,,,,,,
Choate,49.9,,,,,,,,5.57,38.2,,,,,35.1,,4.94,10.33,7.29,,,,,,,,,
Worcester Academy,,39.8,,,,,,,,,,20.5,72.0,,,,,,,,,,43.0,,,,,
Brewster Academy,,4.61,,,61.0,,,,,,,,44.25,,,40.08,,34.93,,,,,28.9,24.6,,,,
Medford,,79.29,,,,,,,,,,,,,,,,,,,53.46,,,,33.7,74.89,,
Marianapolis Prep,,,,,,,,,,,145.71,103.2,,,,,,,,,54.0,,,,77.6,,,
