,Belmont Hill,Berkshire Academy,Berwick,Eagle Hill,Pingree,Lyme/Old Lyme,Medford,King School,Nobles,Notre Dame,Groton,Brooks,Cambridge RLS,Middletown,Suffield,Taft,BB&N,Brewster Academy,NMH,Middlesex,Frederick Gunn,Hopkins,St. Mark's,Choate,Pomfret,St. Mary's-Lynn,Worcester Academy
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Medford,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,,,,,,,,,,,,8.76,,,,,
Nobles,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,
Groton,24.1,,,,,,,,1.33,,,0.0,,,,,,,,,,,,,,,
Brooks,24.1,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
Cambridge RLS,4.85,,,,,,,,,,8.4,15.0,,,,,13.67,,2.0,,,,,,,,
Middletown,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,50.9,,,,,,,,,,,,,
Taft,,6.14,,,,6.65,,,,,23.1,,,,,,15.0,,5.14,,,,,,,,
BB&N,15.0,,,,,,,,23.67,,22.33,,,,,,,,,,,,,,,,
Brewster Academy,,,33.0,,,,28.93,,,,,,,,,,,,,,,,,,,,
NMH,37.0,1.0,,,,1.51,,,27.7,,,13.0,,,,,,,,,,,,,,,
Middlesex,48.35,,,,,,,,,,19.7,,12.8,,,,26.2,,,,,,,,,,
Frederick Gunn,,,,,,,,,,,,,,,,,,,40.42,,,28.92,,,44.15,,
Hopkins,61.7,14.9,,,,11.5,,,,,,,,,,,,,11.5,,,,,,15.23,,
St. Mark's,,,,,6.0,,,,35.9,,,24.8,,,,3.0,18.0,,32.0,,,,,,,,
Choate,,44.89,,,,41.05,,,,,,,,,,37.71,,,,,,,,,,,
Pomfret,48.5,5.64,,,,6.15,,,,,33.8,,,,,17.9,32.9,,4.64,,,,14.9,,,,
St. Mary's-Lynn,,,90.64,13.0,,,86.57,,,,,,,,,,,57.64,,,,,,,,,
Worcester Academy,,,157.8,,,,29.4,,,,,,,,,,,,84.0,,,,52.0,,,,
