,Belmont Hill,Berwick,Eagle Hill,Dexter-Southfield,Nobles,Medford,Frederick Gunn,Taft,Middletown,Bancroft,Cambridge RLS,Groton,Lyme/Old Lyme,Middlesex,Brooks,St. Mary's-Lynn,Berkshire Academy,BB&N,Pomfret,St. Mark's,Brewster Academy,NMH,Hopkins,Choate,Canterbury
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,None,,,,None,,,,,,None,,,,,,,,,
Dexter-Southfield,,,,,,3.45,,,,,,,,,,,,,,,,,,,
Nobles,5.31,,,,,,,,,,,,,,,,,,,,,,,,
Medford,,13.82,,,,,,,,,,,,,,,,,,,,,,,
Frederick Gunn,,,,,,,,17.3,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,9.1,,,,,,15.1,,,,,,,
Middletown,,,,,,,,,,,,,30.7,,,,,,,,,,,,
Bancroft,,,,,,37.0,,,,,,,,,,,,,,,,,,,
Cambridge RLS,21.35,,,,,,,,,,,10.1,,,9.7,,,,,,,,,,
Groton,36.1,,,,18.0,,,,,,,,,,9.9,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,27.88,,,,,,,,,1.6,,22.03,,,12.58,,,
Middlesex,,,,,,,,,,,17.3,21.8,,,,,,25.1,,,,,,,
Brooks,26.2,,,,38.0,,,,,,,,,,,,,1.5,,,,,,,
St. Mary's-Lynn,,,,,,56.4,,,,19.5,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,0.4,17.7,,,,,,,,,,,12.5,,45.72,,,,
BB&N,26.88,,,,36.33,,,,,,4.89,18.33,,,,,,,,,,,,,
Pomfret,47.1,,,,50.5,,,0.7,,,,37.9,,,,,,15.8,,,,,,,
St. Mark's,,,,,65.2,,,5.1,,,,10.2,,,53.5,,,20.2,4.4,,,,,,
Brewster Academy,,,,,91.4,,,17.54,,,,,,,,,,,13.96,26.2,,11.72,,,
NMH,37.7,,,,79.8,,,5.82,,,14.0,,,,23.7,,,,2.24,,,,,,
Hopkins,67.1,,,,56.6,,,17.98,,,,,9.9,,,,11.5,,6.1,,0.44,12.16,,,
Choate,96.5,,,,,,4.6,21.9,,,,60.4,,,70.3,,4.2,,,,,,,,
Canterbury,,,,,,,,74.78,,,,,48.2,,,,49.8,,68.93,,,59.48,38.3,,
