,BU Academy,Nobles,Taft,St. Mary's-Lynn,Groton,Brooks,Hopkins,Canterbury,BB&N,Middletown,Middlesex,Choate,Winsor,Cambridge RLS,Derryfield,Valley Regional,Frederick Gunn,Lyme/Old Lyme,Brewster Academy,Greenwich Academy,Miss Porter's,Marianapolis Prep,Berwick,Greenwich Country Day,St. Mark's,St. Mary Academy-Bay View,Lincoln,Berkshire Academy,NMH,Pingree,Newton Country Day,Pomfret,Suffield,Worcester Academy
BU Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,
Groton,,0.11,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
Brooks,,4.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,,,5.42,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,
Canterbury,,,,,,,6.4,,,,,,,,,,2.0,,1.07,,,,,,,,,,,,,,,
BB&N,,6.22,,,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,
Middlesex,,,,,,15.2,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,
Choate,,,2.5,,10.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,4.04,7.8,,,,,,7.38,,,,,4.62,,,,,,,1.7,,,,,,,,,,,,,
Cambridge RLS,,,,,,12.3,,,10.89,,7.2,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,23.4,,,7.3,,,,,,,,,,,,
Valley Regional,,,,,,,,,,11.7,,,,,,,,23.4,,,,,,,,,,,,,,,,
Frederick Gunn,,,12.0,,,,8.38,,,,,11.3,4.2,,,,,,,,5.9,,,,,,,,,,,,,
Lyme/Old Lyme,,,15.72,,,,8.8,2.4,,,,13.22,,,,,1.92,,,0.9,,,,,,,,,,,,,,
Brewster Academy,,19.3,10.11,,,,,,,,,7.06,,,,,2.08,,,,,,,,4.7,,,,,,,,,
Greenwich Academy,,,18.05,,,,7.9,1.5,,,,15.55,,,,,4.25,,,,,,,,,,,,,,,,,
Miss Porter's,,,6.1,,,,,15.4,,,,,,,,,,19.4,,11.7,,,,,,,,,,,,,,
Marianapolis Prep,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,12.1,,
Berwick,,,,,,,,,,,,,,,6.7,,,,78.1,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,,,65.52,,,,,,,,,,,,,29.04,,,,,,,,,,,,,,
St. Mark's,,14.6,16.7,,,20.9,,,,,11.6,9.0,8.9,,,,4.7,,,,10.6,,,,,,,,1.1,,,,,
St. Mary Academy-Bay View,,,,5.2,,,,,19.0,,,,56.0,,,7.0,,,,,,,,,,,,,,,24.23,,,
Lincoln,,,,12.5,,,,,33.11,,,,32.0,,,14.3,,,,,,,,,,14.11,,,,,19.62,,,
Berkshire Academy,,,17.46,,,,22.7,16.3,,,,14.41,,,,,9.43,13.9,13.1,14.8,,,,,,,,,7.24,,,,,
NMH,,35.0,,,,29.0,7.93,4.79,,,13.8,7.9,,16.7,,,7.3,2.38,5.86,0.63,,,,,,,,,,,,,,
Pingree,40.0,,,,,,,,,,,,,,,,,,,,,131.0,,,39.0,,,,,,,,,
Newton Country Day,,71.5,,,35.7,35.4,,,40.56,,38.44,25.0,24.23,28.85,,,,,52.2,,,,,,56.9,,,,,,,,,
Pomfret,,,41.7,,37.3,,32.0,37.34,,,,40.12,33.9,,,,29.7,,38.41,,35.6,,,,25.0,,,25.31,32.55,,,,,
Suffield,,,,,,,67.4,60.14,,21.0,,,,,,,,61.85,61.21,60.1,,23.57,,,,,,48.11,55.35,,,22.8,,
Worcester Academy,,,,43.2,,,,,,,,82.4,,,58.9,,81.8,,,,,46.5,52.1,,73.4,,,,74.5,,,,,
