,Greenwich Academy,Nobles,Choate,Winsor,Cambridge RLS,Middlesex,BB&N,St. Mark's,Brooks,Groton,Taft,Hopkins,NMH,Berkshire Academy,Miss Porter's,Lyme/Old Lyme,Newton Country Day,Pomfret
Greenwich Academy,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,
Choate,,,,,,,,,6.0,,,,,,,,,
Winsor,,7.85,,,,,,,,,,,,,,,,
Cambridge RLS,,,,10.38,,0.8,,,,3.6,,,,,,,,
Middlesex,,,,,,,2.89,1.3,14.0,,,,,,,,,
BB&N,,13.33,,10.0,0.44,,,5.3,,0.78,,,,,,,,
St. Mark's,,24.2,1.0,4.7,,,,,,,,,,,,,,
Brooks,,42.0,,,0.9,,,6.5,,,,,,,,,,
Groton,,12.56,17.0,,,,,,23.0,,,,,,,,,
Taft,,,10.24,25.4,,,15.4,20.7,,11.5,,,3.96,,,,,
Hopkins,3.7,,,,,,,,,,59.04,,61.46,,,,,8.66
NMH,,31.0,6.28,,32.6,17.7,,15.0,31.7,,,,,,,,,
Berkshire Academy,,,65.6,,,,,,,,46.7,,,,,,,27.8
Miss Porter's,,,,51.5,,,41.5,46.8,,,26.1,,,,,,,
Lyme/Old Lyme,6.3,,62.56,,,,,,,,52.32,2.6,56.28,,,,,
Newton Country Day,,35.3,33.0,18.46,8.08,14.33,17.22,11.1,39.0,16.0,,,,,,,,
Pomfret,,,68.36,54.5,,,44.5,49.8,,58.0,29.1,,62.08,,3.0,5.8,,
