,Berkshire Academy,Nobles,Winsor,BB&N,Choate,Groton,NMH,Greenwich Country Day,Middlesex,Brooks,Taft,Lyme/Old Lyme,St. Mark's,Hopkins,Cambridge RLS,Pomfret,Newton Country Day,Canterbury
Berkshire Academy,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,
Winsor,,1.62,,1.1,,,,,,,,,,,,,,
BB&N,,15.33,,,,,,,,,,,,,,,,
Choate,,,,,,6.0,3.63,,,16.0,,,,,,,,
Groton,,15.78,,0.44,,,,,,10.0,,,,,,,,
NMH,,35.0,,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,35.19,,,,,,,,,,,,,
Middlesex,,,,12.67,,,18.7,,,16.2,,,4.1,,,,,
Brooks,,51.0,,,,,2.5,,,,,,11.4,,,,,
Taft,,,22.9,24.0,,37.9,,,,,,,4.5,,,,,
Lyme/Old Lyme,45.8,,,,39.26,,,4.07,,,,,,12.3,,,,
St. Mark's,,40.6,18.4,19.5,15.8,,10.3,,,,,,,,,,,
Hopkins,33.5,,,,51.16,,54.79,,,,,,,,,,,
Cambridge RLS,,,42.69,20.44,,19.2,31.3,,34.1,28.8,,,,,,,,
Pomfret,,,39.4,40.5,,33.0,32.2,,,,16.5,,21.0,,,,,
Newton Country Day,,88.5,45.0,48.67,,,,,36.0,,,,47.9,,2.31,,,
Canterbury,117.0,,,,,,,,,,,71.2,,83.5,,,,
