,Belmont Hill,Pingree,Brooks,Lyme/Old Lyme,Nobles,Berwick,Hotchkiss,Greenwich Country Day,Worcester Academy,Taft,Suffield,Hopkins,BB&N,NMH,Groton,Cambridge RLS,Pomfret,Notre Dame,Middlesex,Berkshire Academy,Middletown,Derryfield,Choate,Eagle Hill,St. Mary's-Lynn,St. Mark's,Frederick Gunn,Thayer,Dexter-Southfield,Brewster Academy,Bancroft,Marianapolis Prep,Canterbury
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Brooks,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,0.46,,5.3,,2.15,,,,,,,,,,,,,,,,,,,
Nobles,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,8.44,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,0.62,,,,,,1.08,,5.74,,2.77,,,,,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,
Worcester Academy,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,4.66,6.4,1.69,0.9,,6.9,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,23.7,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,18.7,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB&N,29.22,,,,None,,,,,,,,,,None,2.0,0.5,,,,,,,,,,,,,,,,
NMH,22.2,,11.0,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,
Groton,18.3,,16.9,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,17.0,,,,,,,,,9.0,,6.0,8.95,,,,2.0,,,,,,,,,,,,,,
Pomfret,26.8,,,,,,2.63,,,,,1.9,,0.76,12.3,,,,,,,,,,,,,,,,,,
Notre Dame,,,,4.92,12.8,,4.3,,,5.38,,10.04,,7.07,,,,,,,,,,,,,,,,,,,
Middlesex,29.6,,15.0,,,,,,,,,7.0,3.0,4.0,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,8.8,,,11.4,,,6.87,,14.1,,,,,6.78,19.3,,,,,,,,,,,,,,,
Middletown,,,,7.2,,,34.1,,,,,,,,,,,31.7,,,,,,,,,,,,,,,
Derryfield,,,,,,48.5,,,32.6,,,,,,,,,,,,,,,,,,,,,,,,
Choate,31.1,,29.7,4.05,,,,,,2.32,,,,,12.8,,7.21,14.75,,0.43,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,49.1,,,,,,,,,,,,,,,,40.2,,,14.5,,,,,
St. Mary's-Lynn,44.6,,,,,,,,8.9,,,25.9,,22.4,,,17.8,,,,,,,,,,,,,,,,
St. Mark's,,,31.5,,39.4,,,,,20.5,,,26.9,,,,27.4,26.6,21.5,,,,,,,,,,,,,,
Frederick Gunn,,,,,,,33.84,,,,,33.11,,31.97,,,34.55,,,27.77,,,27.34,,,,,,,10.78,,,
Thayer,,,,,,,,,34.6,,,,69.33,,,71.44,,,,,,,,,25.7,,,,,,,,
Dexter-Southfield,,,48.5,,,,,,,38.9,,,,,39.8,,27.5,,38.5,,,,,,,17.0,,,,,,,
Brewster Academy,,,,27.42,47.7,21.2,,,10.7,25.69,,,,,,,23.77,38.12,,16.99,,,16.56,,,8.3,,,,,,,
Bancroft,,,,,,75.3,,,69.1,,,,,,,,,,,,,26.8,,20.0,60.2,,,34.5,,52.8,,,
Marianapolis Prep,,,,,,,,,107.6,,83.9,,,,,,95.7,,,99.2,,,,,,,,,,,,,
Canterbury,,,,67.4,,,38.64,,,,,72.7,,36.77,,,54.56,,,58.6,,,47.35,,,,20.01,,,30.79,,,
