,Belmont Hill,Brewster Academy,Brooks,Hotchkiss,Lyme/Old Lyme,Nobles,Groton,Notre Dame,Cambridge RLS,Taft,Worcester Academy,Middletown,NMH,Berwick,Choate,Berkshire Academy,St. Mark's,Valley Regional,Middlesex,BB&N,Dexter-Southfield,Pomfret,Hopkins,St. Mary's-Lynn
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,
Brewster Academy,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,,,,,4.44,,,,,,,,,,,,,,,,,,
Notre Dame,,,,6.2,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,7.0,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,10.3,,,,,,,,,,,,,,,,,
Worcester Academy,,11.6,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,,17.1,,,,10.9,,,,,,,,,,,,,,,,
NMH,15.0,,11.0,,,,,,4.0,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,36.22,,,,
Choate,,,,,,,,,,46.1,,,,,,17.1,,,,,,,,
Berkshire Academy,,,,19.6,,,,,,28.9,,,,,,,,,,,,16.0,,
St. Mark's,,,35.5,,,,,,,,,,,,,,,,18.0,,13.0,,,
Valley Regional,,,,,77.1,,,,,,,,,,,,,,,,,,,
Middlesex,40.7,,19.0,,,,,,12.0,,,,8.0,,,,,,,,,,,
BB&N,39.67,,,,,24.0,19.56,,1.56,,,,,,,,,,,,,,,
Dexter-Southfield,,,22.5,,,,39.0,,,28.7,,,,,,,,,5.0,,,10.4,,
Pomfret,37.5,,,,,,28.6,,,18.3,,,22.5,,,,,,,,,,,
Hopkins,40.5,,29.0,,,,,,22.0,,,,18.0,,,,,,10.0,,,3.0,,
St. Mary's-Lynn,113.8,,,,,,,,,,,,98.8,,,,,,,,,76.3,73.3,
