,Belmont Hill,Brooks,Groton,Notre Dame,Nobles,Cambridge RLS,Taft,Middletown,St. Mark's,Berkshire Academy,Pomfret,Hotchkiss,Greenwich Country Day,NMH,BB&N,Middlesex,Hopkins
Belmont Hill,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,,,,,,,,,,
Groton,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,,,,,,,,,,
Nobles,,,0.89,,,,,,,,,,,,,,
Cambridge RLS,,7.0,,,,,,,,,,,,,,,
Taft,,,7.5,,,,,,,,,,,,,,
Middletown,,,,24.4,,,,,,,,,,,,,
St. Mark's,,34.5,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,47.5,,,,14.7,,,,,,
Pomfret,,,37.6,,,,30.1,,,,,,,,,,
Hotchkiss,,,,47.8,,,,23.4,,22.3,,,,,,,
Greenwich Country Day,,,,55.7,,,,31.3,,,,7.9,,,,,
NMH,40.6,43.0,,,,36.0,,,,,,,,,,,
BB&N,48.89,,40.0,,39.11,5.78,,,,,,,,,,,
Middlesex,56.2,53.0,,,,46.0,,,13.5,,,,,10.0,,,
Hopkins,100.1,64.0,,,,57.0,,,,,,,,21.0,,11.0,
