,Brooks,NMH,Nobles,Berkshire Academy,Choate,Pingree,Derryfield,Miss Porter's,Cambridge RLS,Hotchkiss,Groton,Middlesex,Winsor,St. Mark's,BB&N,Suffield,Taft,Middletown,Greenwich Country Day,Lyme/Old Lyme,Newton Country Day,Dexter-Southfield,Greenwich Academy,Hopkins,Brewster Academy,St. Mary's-Lynn,Sacred Heart,Frederick Gunn,Pomfret,Canterbury
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,2.84,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Choate,,0.37,,,,,,,,,,,5.19,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,
Miss Porter's,,,,3.4,5.5,,,,,,,,,,10.5,,,,,,,,,,,,,,,
Cambridge RLS,8.7,8.7,,,2.08,,,,,,,,7.27,,,,,,,,,,,,,,,,,
Hotchkiss,,13.93,,7.52,9.99,,,,,,,,,,,,1.04,,,,,,,,,,,,,
Groton,,,23.22,,,,,,5.32,,,,,,5.44,,,,,,,,,,,,,,,
Middlesex,15.1,15.1,,,,,,,6.4,,,,,,10.3,,,,,,,,,,,,,,,
Winsor,,,16.27,,,,,6.7,,,,,,2.4,17.2,,10.2,,,,,,,,,,,,,
St. Mark's,12.1,,23.0,,,,,4.3,,,,7.2,,,,,7.8,,,,,,,,,,,,,
BB&N,18.7,,17.78,,,,,,16.8,,,,,6.6,,,,,,,,,,,,,,,,
Suffield,,,,23.89,27.89,,,,,,,,,,,,,,,,,,9.08,,,,,,,
Taft,,9.32,,12.5,14.7,,,9.1,,,12.3,,,,7.0,,,,,,,,,,,,,,,
Middletown,,,,,,,,22.6,,43.1,,,,,,,,,1.7,1.5,,,,,,,,,6.5,
Greenwich Country Day,,,,,,,,20.9,,34.5,,,,,,,,,,,,,29.6,16.5,,,,,,
Lyme/Old Lyme,,,,39.5,36.09,,,,,,,,,,,1.87,,,,,,,20.7,6.7,,,,,,
Newton Country Day,,13.93,54.1,,,,,,,,,5.7,,31.1,16.0,,,,,,,,,,,,,,,
Dexter-Southfield,,,,,,,,,,,58.5,,,,,,46.2,,,,,,,,,,,,34.3,
Greenwich Academy,,33.0,,18.8,32.63,,,,,4.8,,,29.0,,16.44,,23.68,,,,,,,,,,,,,
Hopkins,34.0,24.11,,32.8,,,,,25.3,18.0,,18.9,,,,3.97,14.31,,,,,,13.1,,,,,,,
Brewster Academy,82.7,,,,,,,,,,,,,70.6,64.0,,,,,,,,,,,,,,,
St. Mary's-Lynn,,101.79,,,,,,,,,,,,,,,,,,,87.86,21.7,,36.4,,,,,21.5,
Sacred Heart,,,,,,,,,,73.6,,,,,,,,,39.1,,109.39,,68.8,55.6,,,,,,
Frederick Gunn,,40.39,,,,,,59.6,,35.77,,,52.9,55.3,70.1,13.47,63.1,,,11.6,,,,9.5,,,,,7.4,
Pomfret,,35.83,,31.8,,,,52.2,,31.21,24.2,,45.5,47.9,62.7,20.04,55.7,,,18.17,,,,16.07,,,,,,
Canterbury,,,,125.0,129.0,,,,,,,,,,,101.0,,,,99.13,,,110.19,97.03,,,,87.53,80.96,
