,Brooks,Cambridge RLS,Choate,Hotchkiss,NMH,Nobles,Middlesex,Hopkins,St. Mark's,Berkshire Academy,Groton,Pomfret,BB&N,Taft,Middletown
Brooks,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,,,,,,,
Choate,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,,,,,,,,,
NMH,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,
Middlesex,9.2,,,,,,,,,,,,,,
Hopkins,,,,,21.9,,,,,,,,,,
St. Mark's,19.9,,,,,,10.7,,,,,,,,
Berkshire Academy,,,16.7,18.4,,,,,,,,,,,
Groton,,,,,,31.56,,,,,,,6.67,,
Pomfret,,,,,28.2,,,6.3,,6.0,,,,,
BB&N,,24.0,,,,24.89,,,,,,,,,
Taft,,,37.3,,,,,,,20.6,,,,,
Middletown,,,,90.4,,,,,,,,,,,
