,Choate,Nobles,Pingree,Brooks,Winsor,Hotchkiss,NMH,Cambridge RLS,Berkshire Academy,BB&N,Greenwich Country Day,St. Mary's-Lynn,Groton,Middlesex,Greenwich Academy,Lyme/Old Lyme,Taft,Hopkins,St. Mark's,Newton Country Day,Frederick Gunn,Pomfret,Canterbury
Choate,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,0.9,,,,,,,,,,,,,,,
Winsor,1.04,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,11.89,,,,,,4.35,,,,,,,,,,,5.76,,,,,
NMH,7.54,,,9.7,,,,10.6,,,,,,,,,,1.41,,,,,
Cambridge RLS,16.62,,,,15.58,,,,,,,,,,,,,,,,,,
Berkshire Academy,19.5,,,,,16.7,,,,,,,,,,,,,,,,,
BB&N,,5.67,,,26.33,,,10.8,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,,42.9,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,57.0,,,,,,,,,,,,,,,,,,,,
Groton,,28.11,,,,,,6.53,,22.44,,,,,,,,,,,,,
Middlesex,,,,22.6,,,12.9,23.5,,2.2,,,,,,,,,,,,,
Greenwich Academy,,,,,52.11,,,,,25.78,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,33.0,,,,,,,,,,22.0,31.0,,,,,
Taft,18.0,,,,,6.11,10.46,,5.2,,,,35.5,,,,,11.87,,,,,
Hopkins,6.13,,,35.3,,,,36.2,,,,,,12.7,,,,,,,,,
St. Mark's,,57.7,,33.1,,,,,,,,,,7.7,,,,,,6.6,,,
Newton Country Day,,51.1,,,,,,,,32.8,,,,30.6,,,,,,,,,
Frederick Gunn,70.93,,,,,66.19,,,,,,,,,,,,,,,,9.4,
Pomfret,61.53,,,,,56.79,,,32.1,,,,85.0,,,,49.5,,,,,,
Canterbury,,,,,,,108.0,,,,,,,,,75.0,97.0,106.0,,,,,
