,Lyme/Old Lyme,Nobles,Cambridge RLS,Choate,Miss Porter's,Middlesex,Brooks,NMH,Winsor,BB&N,Groton,St. Mark's,Canterbury,Hopkins,Taft
Lyme/Old Lyme,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,,1.2,,,,,
Choate,,,12.46,,,,,,,,,,,,
Miss Porter's,,,,15.2,,,,,,8.5,,,,,
Middlesex,,,27.0,,,,,,,,,,,,
Brooks,,,28.0,5.6,,1.0,,,,,,,,,
NMH,,,,,,,,,,,,,,37.7,
Winsor,,,21.23,8.77,0.8,,,,,9.3,,,,,
BB&N,,29.56,,,,,25.1,,,,,,,,
Groton,,30.0,27.46,,,,,,,,,,,,
St. Mark's,,,,,17.3,,,,16.5,25.8,,,,,
Canterbury,42.5,,,,,,,,,,,,,32.4,
Hopkins,10.2,,82.0,,,55.0,54.0,,,,,,,,
Taft,,,,44.4,29.1,,,,49.6,58.9,,33.1,,,
