Race,Boat,1,2,3,4,5,6
1,G4 H1,Taft (B),L/OL,NMH,Hopkins,Taft,Canterbury
,,,,,,,
2,G4 H2,Gunn,Hotchkiss,Choate,Rumsey,Choate (B),Pomfret (B)
,,,,,,,
3,B4 H1,Taft (B),Hotchkiss,Taft,Rumsey,Berkshire,Brewster
,,,,,,,
4,B4 H2,L/OL (B),Hopkins,Pomfret,NMH,L/OL,Hopkins (B)
,,,,,,,
5,G3 H1,Hotchkiss,Pomfret,Choate,L/OL,Berkshire,
,,,,,,,
6,G3 H2,Brewster,Hopkins,NMH,Taft,GA,Hopkins (B)
,,,,,,,
7,B3 H1,Canterbury,Hopkins,Berkshire,Taft,Brewster,
,,,,,,,
8,B3 H2,Hotchkiss,Choate,NMH,Pomfret,Gunn,
,,,,,,,
9,G2 H1,Canterbury,GA,Choate,L/OL,Berkshire,Suffield
,,,,,,,
10,G2 H2,Hotchkiss,Hopkins,NMH,Taft,Pomfret,Gunn
,,,,,,,
11,B2 H1,Notre Dame,Taft,NMH,L/OL,Brewster,Suffield
,,,,,,,
12,B2 H2,Hotchkiss,Pomfret,Berkshire,Hopkins,Choate,
,,,,,,,
13,G1 H1,Berkshire,L/OL,Taft,Gunn,NMH,
,,,,,,,
14,G1 H2,Pomfret,Brewster,Choate,Hopkins,Canterbury,Hotchkiss
,,,,,,,
15,B1 H1,Brewster,Taft,Berkshire,L/OL,Choate,Notre Dame
,,,,,,,
16,B1 H2,Canterbury,Gunn,Hopkins,NMH,Pomfret,Hotchkiss
,,,,,,,
1,G4,Taft,Hopkins,NMH,Choate,Hotchkiss,Rumsey
,,6:21,6:09.13,6:10.54,6:03,6:14.89,6:09.96
2,B4,Hotchkiss,Taft,Rumsey,NMH,Hopkins,Pomfret
,,6:09.51,5:34.28,5:39.04,6:00.03,6:08.79,6:04.91
3,G3,Hotchkiss,Berkshire,Choate,NMH,Taft,Hopkins
,,6:03.73,6:07.06,6:02,6:05.99,6:15.08,6:25
4,B3,Hopkins,Berkshire,Taft,Hotchkiss,NMH,Pomfret
,,5:33.78,5:49.65,5:23.11,5:26.97,5:32.28,5:53.81
5,G2V-P,Canterbury,L/OL,Suffield,Hopkins,Pomfret,Gunn
,,7:55,6:15.87,6:14,6:17.97,6:34.04,6:27.47
6,B2V-P,,Notre Dame,Suffield,Berkshire,Choate,Brewster
,,,5:38.77,5:37.87,5:41.37,5:51.70,5:56.39
7,G2V-G,Taft,Berkshire,Choate,NMH,Hotchkiss,GA
,,5:57.32,5:50.84,5:48.37,5:48,5:58.36,6:21
8,B2V-G,Pomfret,Hopkins,NMH,Hotchkiss,Taft,L/OL
,,5:35.28,5:27.24,5:11.17,5:22.82,5:16.70,5:24.11
9,G1V-P,,L/OL,Gunn,Brewster,Pomfret,Canterbury
,,,6:00.19,5:50,5:55.37,6:14.90,6:18
10,B1V-P,Brewster,Gunn,Choate,Pomfret,Berkshire,Canterbury
,,5:33.60,5:44.38,5:17.04,5:09.83,5:16.61,6:04.39
11,G1V-G,Berkshire,Taft,NMH,Hotchkiss,Choate,Hopkins
,,5:50.05,5:40.45,5:35,5:39,5:44.70,5:55
12,B1V-G,Taft,L/OL,Notre Dame,Hotchkiss,Hopkins,NMH
,,5:02.86,5:03.32,5:08.24,5:03.94,4:58.20,5:01.17
