"=SUMPRODUCT(B2:AK37, ROW(B2:AK37) < COLUMN(B2:AK37))",Nobles,Groton,Brooks,Taft,BB&N,Middlesex,Cambridge RLS,Choate,Hopkins,Winsor,Frederick Gunn,Brewster Academy,Canterbury,Greenwich Academy,Lyme/Old Lyme,Miss Porter's,NMH,St. Mark's,Middletown,Berkshire Academy,Newton Country Day,Valley Regional,St. Mary's-Lynn,St. Mary Academy-Bay View,Berwick,Lincoln,Pomfret,Marianapolis Prep,Greenwich Country Day,Derryfield,BU Academy,Dexter-Southfield,Worcester Academy,Suffield,Pingree
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,0.1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,4.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB&N,5.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,,,15.2,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,12.3,,9.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choate,,10.7,10.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,,,,5.42,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,3.5,,,7.8,6.4,,4.0,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,
Frederick Gunn,,,,12.0,,,,11.3,8.38,4.2,,,,,,5.9,,,,,,,,,,,,,,,,,,,
Brewster Academy,19.3,,,10.11,,,,7.06,,,2.08,,,,,,,4.7,,,,,,,,,,,,,,,,,
Canterbury,,,,,,,,,6.4,,2.0,1.07,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Academy,,,,18.05,,,,15.55,7.9,,4.25,,1.5,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,15.72,,,,13.22,8.8,,1.92,,2.4,0.9,,,,,,,,,,,,,,,,,,,,,
Miss Porter's,,,,6.1,,,,,,,,,15.4,11.7,19.4,,,,,,,,,,,,,,,,,,,,
NMH,35.0,,29.0,,,13.8,16.7,7.9,7.93,,7.3,5.86,4.79,0.63,2.38,,,,,,,,,,,,,,,,,,,,
St. Mark's,14.6,,20.9,16.7,,11.6,,9.0,,8.9,4.7,,,,,10.6,1.1,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,17.46,,,,14.41,22.7,,9.43,13.1,16.3,14.8,13.9,,7.24,,,,,,,,,,,,,,,,,,
Newton Country Day,71.5,35.7,35.4,,36.5,34.6,25.0,25.0,,21.0,,52.2,,,,,,56.9,,,,,,,,,,,,,,,,,
Valley Regional,,,,,,,,,,,,,,,23.4,,,,11.7,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,,,,22.8,,,,,,,,,,1.8,,,,,,,,,,,,,
St. Mary Academy-Bay View,,,,,17.1,,,,,56.0,,,,,,,,,,,21.0,7.0,5.2,,,,,,,,,,,,
Berwick,,,,,,,,,,,,34.8,,,,,,,,,,,12.0,,,,,,,6.7,,,,,
Lincoln,,,,,29.8,,,,,32.0,,,,,,,,,,,17.0,14.3,12.5,12.7,,,,,,,,,,,
Pomfret,,37.3,,41.7,,,,40.12,32.0,33.9,29.7,38.41,37.34,,,35.6,32.55,25.0,,25.31,,,,,,,,,,,,,,,
Marianapolis Prep,,,,,,,,,,,,,,,,,,,,35.0,,,21.2,,,,12.1,,,,,,,,
Greenwich Country Day,,,,,,,,,54.6,,,,,24.2,,,,,,,,,,,,,,3.4,,,,,,,
Derryfield,,,,,,,,,,,,23.4,,,,,,,,,,,,,,,,7.3,,,,,,,
BU Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter-Southfield,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,
Worcester Academy,,,,,,,,82.4,,,81.8,54.4,,,,,74.5,73.4,,,,,43.2,,52.1,,,46.5,,58.9,,15.4,,,
Suffield,,,,,,,,,67.4,,,61.21,60.14,60.1,61.85,,55.35,,21.0,48.11,,,,,,,22.8,22.0,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,131.0,,,40.0,,,,
