"=SUMPRODUCT(B2:AK37, ROW(B2:AK37) < COLUMN(B2:AK37))",Nobles,Groton,Brooks,Choate,NMH,Cambridge RLS,Winsor,BB&N,Middlesex,Eagle Hill,Worcester Academy,Taft,Greenwich Academy,Lyme/Old Lyme,Middletown,Valley Regional,Lincoln,St. Mark's,Newton Country Day,Brewster Academy,Hopkins,Miss Porter's,Pomfret,Berkshire Academy,Greenwich Country Day,St. Mary Academy-Bay View,St. Mary's-Lynn,Canterbury,Derryfield,Thayer,Marianapolis Prep
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choate,,15.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,22.0,,9.9,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,10.5,13.1,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,15.5,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
BB&N,20.3,19.3,,,,15.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,,,11.7,,1.8,6.2,,3.7,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worcester Academy,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,
Taft,,22.5,,3.57,2.44,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Academy,,,,,12.08,,,,,,,16.62,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,18.49,17.36,,,,,,,14.92,6.0,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,,,,,
Valley Regional,,,,,,,,,,,,,,32.4,5.1,,,,,,,,,,,,,,,,
Lincoln,,,,,,,121.8,36.3,,,,,,,,13.0,,,,,,,,,,,,,,,
St. Mark's,27.1,,19.7,29.4,17.1,,10.9,,9.4,,,8.7,,,,,,,,,,,,,,,,,,,
Newton Country Day,52.7,62.0,56.0,47.0,,31.0,25.0,11.8,8.1,,,,,,,,,25.6,,,,,,,,,,,,,
Brewster Academy,72.8,,,41.36,40.23,,,,,,,37.79,,22.87,,,,45.7,20.1,,,,,,,,,,,,
Hopkins,,,,,17.75,,,,,,,22.29,11.0,5.0,,,,,,,,,,,,,,,,,
Miss Porter's,,,,,,,22.0,,,,,19.8,1.9,10.4,,,,11.1,,,,,,,,,,,,,
Pomfret,,69.4,,45.74,42.9,,35.8,,,,,33.6,16.67,41.08,,,,24.9,,14.33,14.05,13.8,,,,,,,,,
Berkshire Academy,,,,43.91,,,,,,,,47.4,21.7,15.7,,,,,,12.5,10.7,,7.31,,,,,,,,
Greenwich Country Day,,,,32.56,,,,,,,,,31.2,27.9,,,,,,1.15,28.58,,14.53,7.22,,,,,,,
St. Mary Academy-Bay View,,,,,,,,61.9,,,,,,,,20.6,25.6,,83.0,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,,42.0,25.4,,,,,57.6,44.6,,,,,,,,,37.0,,,,,
Canterbury,,,,,94.12,,,,,,,98.66,80.2,74.2,,,,,,,69.2,51.1,62.53,58.5,48.0,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,
Thayer,,,,,,,,,,,,,,,,,,,,32.9,,,,,,,,,16.4,,
Marianapolis Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,45.2,,
