"=SUMPRODUCT(B2:AK37, ROW(B2:AK37) < COLUMN(B2:AK37))",Nobles,Winsor,St. Mark's,Brooks,Choate,Groton,BB&N,Middlesex,Cambridge RLS,Newton Country Day,NMH,Taft,Miss Porter's,Pomfret,Berkshire Academy,Greenwich Academy,Hopkins,Lyme/Old Lyme
Nobles,,,,,,,,,,,,,,,,,,
Winsor,6.8,,,,,,,,,,,,,,,,,
St. Mark's,24.2,4.7,,,1.0,,,,,,,,,,,,,
Brooks,42.0,,6.5,,,,,,0.9,,,,,,,,,
Choate,,,,6.0,,,,,,,,,,,,,,
Groton,11.3,,,23.0,17.0,,,,,,,,,,,,,
BB&N,12.0,10.0,5.3,,,0.7,,,0.4,,,,,,,,,
Middlesex,,,1.3,14.0,,,2.6,,,,,,,,,,,
Cambridge RLS,,9.0,,,,3.6,,0.8,,,,,,,,,,
Newton Country Day,35.3,16.0,11.1,39.0,33.0,16.0,15.5,12.9,7.0,,,,,,,,,
NMH,31.0,,15.0,31.7,6.28,,,17.7,32.6,,,,,,,,,
Taft,,25.4,20.7,,10.24,11.5,15.4,,,,3.96,,,,,,,
Miss Porter's,,51.5,46.8,,,,41.5,,,,,26.1,,,,,,
Pomfret,,54.5,49.8,,68.36,58.0,44.5,,,,62.08,29.1,3.0,,,,,5.8
Berkshire Academy,,,,,65.6,,,,,,,46.7,,27.8,,,,
Greenwich Academy,,,,,,,,,,,,,,,,,,
Hopkins,,,,,,,,,,,61.46,59.04,,8.66,,3.7,,
Lyme/Old Lyme,,,,,62.56,,,,,,56.28,52.32,,,,6.3,2.6,
