"=SUMPRODUCT(B2:AK37, ROW(B2:AK37) < COLUMN(B2:AK37))",Nobles,BB&N,Winsor,NMH,Brooks,Groton,Choate,St. Mark's,Middlesex,Berkshire Academy,Taft,Cambridge RLS,Pomfret,Newton Country Day,Greenwich Country Day,Hopkins,Lyme/Old Lyme,Canterbury
Nobles,,,,,,,,,,,,,,,,,,
BB&N,13.8,,,,,,,,,,,,,,,,,
Winsor,1.4,1.1,,,,,,,,,,,,,,,,
NMH,35.0,,,,,,,,,,,,,,,,,
Brooks,51.0,,,2.5,,,,11.4,,,,,,,,,,
Groton,14.2,0.4,,,10.0,,,,,,,,,,,,,
Choate,,,,3.63,16.0,6.0,,,,,,,,,,,,
St. Mark's,40.6,19.5,18.4,10.3,,,15.8,,,,,,,,,,,
Middlesex,,11.4,,18.7,16.2,,,4.1,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,,,,,,,
Taft,,24.0,22.9,,,37.9,,4.5,,,,,,,,,,
Cambridge RLS,,18.4,37.0,31.3,28.8,19.2,,,34.1,,,,,,,,,
Pomfret,,40.5,39.4,32.2,,33.0,,21.0,,,16.5,,,,,,,
Newton Country Day,88.5,43.8,39.0,,,,,47.9,32.4,,,2.0,,,,,,
Greenwich Country Day,,,,,,,35.19,,,,,,,,,,,
Hopkins,,,,54.79,,,51.16,,,33.5,,,,,,,,
Lyme/Old Lyme,,,,,,,39.26,,,45.8,,,,,4.07,12.3,,
Canterbury,,,,,,,,,,117.0,,,,,,83.5,71.2,
