1,BB&N,5,,5,,5,,5,
2,BU Academy,1,,0,,0,,0,
3,Bancroft,0,,0,,0,,0,
4,Berkshire Academy,3,,3,,2,,1,
5,Berwick,3,,0,,0,,0,
6,Brewster Academy,3,,2,,0,,0,
7,Brooks,4,,4,,4,,4,
8,Cambridge RLS,5,,5,,5,,5,
9,Canterbury,2,,2,,0,,1,
10,Choate,3,,3,,3,,2,
11,Derryfield,4,,2,,0,,0,
12,Dexter-Southfield,0,,0,,0,,0,
13,Eagle Hill,0,,1,,0,,0,
14,Frederick Gunn,3,,0,,0,,0,
15,Greenwich Academy,3,,3,,1,,0,
16,Greenwich Country Day,2,,2,,0,,0,
17,Groton,4,,4,,4,,4,
18,Hopkins,3,,3,,2,,1,
19,Lincoln,4,,3,,0,,0,
20,Lyme/Old Lyme,4,,4,,1,,1,
21,Marianapolis Prep,6,,2,,0,,0,
22,Medford,0,,0,,0,,0,
23,Middlesex,4,,4,,4,,4,
24,Middletown,3,,2,,0,,0,
25,Miss Porter's,2,,2,,1,,0,
26,NMH,4,,4,,4,,4,
27,Newton Country Day,5,,5,,4,,3,
28,Nobles,5,,5,,5,,5,
29,Pingree,3,,0,,0,,0,
30,Pomfret,4,,4,,4,,3,
31,St. Mark's,5,,4,,4,,4,
32,St. Mary Academy-Bay View,4,,3,,0,,0,
33,St. Mary's-Lynn,3,,3,,0,,0,
34,Suffield,2,,0,,0,,0,
35,Taft,2,,3,,3,,2,
36,Thayer,0,,1,,0,,0,
37,Valley Regional,3,,3,,0,,0,
38,Vermont Academy,0,,0,,0,,0,
39,Winsor,5,,5,,4,,4,
40,Worcester Academy,4,,1,,0,,0,
,,,,,,,,,,
,Results,1st girls,Time,2nd girls,Time,3rd girls,Time,4th girls,Time
2024-04-11,Hopkins,5:42.9,Hopkins,6:22.3,,,,
,Greenwich Country Day,6:37.5,Greenwich Country Day,6:42.5,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-04-13,Brewster Academy,5:44.3,,,,,,
,Berwick,7:02.4,,,,,,
,,,,,,,,
,BB&N,4:51.6,Cambridge RLS,5:10.8,Cambridge RLS,5:13.1,BB&N,5;20.4
,Cambridge RLS,5:01.4,BB&N,5:26.1,BB&N,5.13.5,Cambridge RLS,5:38.8
,,,,,,,,
,Nobles,5:58,Nobles,6:03,Nobles,6:21,Nobles,6:23
,Brooks,6:02,Brooks,6:23,Brooks,7:03,Brooks,7:14
,,,,,,,,
,Choate,6:02.9,Choate,6:06.9,Choate,6:05,Choate,6:22.5
,Frederick Gunn,6:03.5,NMH,6:19.2,St. Mark's,6:06,NMH,6:28.0
,NMH,6:10.8,St. Mark's,6:36.3,NMH,6:21,St. Mark's,6:38.3
,St. Mark's,6:11.9,,,,,,
,Worcester Academy,7:25.3,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-04-17,Marianapolis Prep,6:38.17,Derryfield,7:18.4,,,,
,Derryfield,6:45.44,Marianapolis Prep,8:03.60,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-04-18,Middletown,6:10.9,,,,,,
,Suffield,6:31.9,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-04-20,Hopkins,5:49.4,NMH,6:05.7,NMH,6:28.3,NMH,6:16.5
,NMH,5:50.2,Hopkins,6:21.9,Hopkins,6:48.6,Pomfret,6:48.7
,Pomfret,6:21.4,Pomfret,6:48.6,Pomfret,6:59.3,,
,,,,,,,,
,Brooks,5:33.8,Brooks,5:45.9,St. Mark's,W,St. Mark's,6:07.4
,Middlesex,5:43.1,Middlesex,5:56.2,Middlesex,+1.3,Middlesex,6:11.5
,St. Mark's,5:54.7,St. Mark's,6:05.6,Brooks,+6.5,Brooks,6:18.8
,,,,,,,,
,Newton Country Day,5:40,Newton Country Day,5:55,,,,
,Lincoln,5:57,St. Mary Academy-Bay View,7:18,,,,
,St. Mary Academy-Bay View,6:01,,,,,,
,,,,,,,,
,Derryfield,6:20.8,,,,,,
,Berwick,7:04.6,,,,,,
,,,,,,,,
,BU Academy,7:25,,,,,,
,Pingree,8:05,,,,,,
,,,,,,,,
,Choate,5:45.66,Taft,5:58.50,Choate,6:12.96,,
,Taft,5:50.02,Choate,5:58.71,Taft,6:31.88,,
,Berkshire Academy,6:02.89,Berkshire Academy,6:45.93,Berkshire Academy,7:18.54,,
,,,,,,,,
,Nobles,4:32.3,Nobles,4:53.6,Nobles,5:04.8,Nobles,5:17.4
