,Belmont Hill,Berkshire Academy,Berwick,Lyme/Old Lyme,Nobles,Pingree,Notre Dame,King School,Middlesex,Middletown,Hopkins,Groton,Cambridge RLS,Brooks,NMH,Taft,Pomfret,St. Mark's,Valley Regional,Derryfield,Suffield,BB&N,Eagle Hill,Dexter-Southfield,Frederick Gunn,Choate,BU Academy,St. Mary's-Lynn,Medford,Worcester Academy,Thayer,Brewster Academy,Canterbury,Marianapolis Prep,Bancroft
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,1.6,,,,,1.2,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,
Nobles,2.08,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,8.04,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,,6.1,,4.7,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,
Hopkins,6.4,4.7,,3.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,14.4,,,,,,,,2.6,,,,,3.7,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,9.3,,,9.5,,3.7,,,,,,,,,,,,,,,,,,,,,
Brooks,10.7,,,,15.0,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,10.2,4.69,,,7.2,,,,,,0.39,,0.3,4.0,,,,,,,,,,,,,,,,,,,,,
Taft,,0.4,,5.82,,,,,,,6.98,11.1,,,6.59,,,,,,,,,,,,,,,,,,,,
Pomfret,15.7,4.9,,,7.5,,,,,,2.1,3.9,,,1.57,3.5,,1.5,,,,,,,,,,,,,,,,,
St. Mark's,,,,,19.9,,,,12.3,,,1.92,,11.7,7.0,2.0,,,,,,,,,,,,,,,,,,,
Valley Regional,,,,39.5,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,4.8,,,
Suffield,,20.01,,15.05,,,,,,8.6,,,,,,,11.36,,,,,,,,11.48,,,,,,,,,,
BB&N,14.19,,,,7.11,,,,5.1,,,9.44,1.0,5.6,,15.8,12.3,13.8,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,27.0,42.5,15.9,,,,1.3
Dexter-Southfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,41.2,,45.4,,,0.0
Frederick Gunn,,13.5,,12.28,,,17.0,,,7.4,13.44,,,,13.05,13.1,,10.0,,,,,,,,6.6,,,,,,,,,
Choate,31.7,6.9,,7.39,,,,,,0.8,,17.3,,21.0,,6.5,16.22,,,,4.86,,,,,,,,,,,,,,
BU Academy,,,,,,35.0,,,,,,,64.33,,,,,,,,,,,,,,,,,,19.0,,,,
St. Mary's-Lynn,,,25.5,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,28.8,16.07,27.0,,,
Medford,,,43.18,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,28.4,17.46,32.6,,,
Worcester Academy,,,26.4,,,,,,,,,,,,50.0,,,43.0,,,,,,,33.0,,,,,,,4.3,,,
Thayer,,,31.61,,,,,,,,,,45.44,45.3,,,,,,8.7,,39.7,,,,,,,,,,18.3,,,
Brewster Academy,,,20.68,,59.8,,,,,,20.07,,,27.0,19.66,19.23,16.53,39.9,,,5.17,21.4,,,,0.31,,,,,,,,,
Canterbury,,56.9,,55.3,,,45.2,,,,52.2,,,,,,51.91,,,,40.55,,,,42.43,35.69,,,,,,35.38,,,
Marianapolis Prep,,92.7,,,,54.0,,,,,,,,,,,87.8,,,81.2,132.86,,10.7,,,,,30.4,,47.9,26.6,,,,10.6
Bancroft,,,107.8,,,,,,,,,,,,109.0,,,102.0,,67.1,,,,,92.0,,,12.4,12.8,41.1,,45.4,,,
