,Belmont Hill,Berwick,Kent,King School,Lyme/Old Lyme,Middletown,Nobles,Pingree,Winsor,Andover,NMH,Stonington,Groton,Berkshire,Brooks,Boston University Academy,Derryfield,Suffield,Taft,Hanover,Choate,BB&N,Medford,Bedford,Hopkins,St. Mary's-Lynn,Middlesex,East Lyme,Cambridge RLS,St. Mark's,Brewster Academy,Pomfret,Worcester Academy,Marianapolis Prep
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonington,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,,,,,,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,7.2,,
Brooks,,,,,,,9.0,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,
Boston University Academy,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,
Hanover,,,,,,,,,,23.91,,,,,,,,,,,,,,,,,,,,,,,,
Choate,,,,,,,,,,,,,,12.01,,,,,14.56,,,,,,,,,,,,,,,
BB&N,14.31,,,,,,11.46,,5.11,,,,2.74,,,,,,,,,,,,,,,,,,,,,
Medford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.68,
Bedford,,,,,,,,,,31.55,,,,,,,,,,7.64,,,,,,,,,,,,,,
Hopkins,23.4,,,6.12,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,42.08,
Middlesex,30.0,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,6.23,,,,,
East Lyme,,,,,31.2,,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,23.77,,,,,,,,,,17.8,,,,15.3,,,,,,,3.38,,,,,,,,,,,,
St. Mark's,,,,,,,32.1,,,,29.0,,,,17.2,,,,,,,,,,,,0.5,,,,,,,
Brewster Academy,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,
Pomfret,25.8,,,,,,,,,,22.8,,69.4,,,,,,46.9,,,,,,2.4,,,,,,,,,
Worcester Academy,,39.79,,,,,,,,,72.0,,,,,,20.49,,,,,,,,,,,,,43.0,,,,
Marianapolis Prep,,,,,,,,,,,,,,,,,103.22,145.71,,,,,,,,,,,,,,,77.6,
