,Belmont Hill,Berwick,Eagle Hill,Lyme/Old Lyme,Medford,Nobles,Groton,Berkshire Academy,King School,St. Mary's-Lynn,Brooks,Taft,Choate,Cambridge RLS,NMH,Middletown,Suffield,BB&N,St. Mark's,Hopkins,Middlesex,Pomfret,Marianapolis Prep,Worcester Academy
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,,,,,,,,,,,,,,
Medford,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,,,,,1.33,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,3.7,,,,,,,,,,,,
King School,,,,,,,,,,,,,,,,,,,,8.76,,,,
St. Mary's-Lynn,,,13.0,,,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,19.0,,,,,,,,,,,,,,,,,,
Taft,,,,,,,23.1,,,,,,,,,,,,,,,,,
Choate,,,,,,,,9.9,,,,13.6,,,,,,,,,,,,
Cambridge RLS,4.85,,,,,,,,,,15.0,,,,2.0,,,13.67,,,,,,
NMH,37.0,,,,,,,,,,13.0,,,,,,,,,,,,,
Middletown,,,,50.2,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,50.9,,,,,,,,
BB&N,15.0,,,,,23.67,22.33,,,,,,,,,,,,,,,,,
St. Mark's,,,,,,35.9,,,,,24.8,,,,32.0,,,,,,,,,
Hopkins,61.7,,,,,,,,,,,,,,24.7,,,,,,,13.2,,
Middlesex,48.35,,,,,,19.7,,,,,,,43.5,,,,,,,,,,
Pomfret,48.5,,,,,,33.8,9.5,,,,10.7,,,11.5,,,,,,,,,
Marianapolis Prep,,,,,,,,110.9,,,,,,,,,,,,,,101.4,,
Worcester Academy,,157.8,,,29.4,,,,,,,,,,84.0,,,,52.0,,,,,
