,Belmont Hill,Berwick,Eagle Hill,Dexter-Southfield,Nobles,Medford,Taft,Middletown,Bancroft,Cambridge RLS,Groton,Lyme/Old Lyme,Brooks,Middlesex,St. Mary's-Lynn,BB&N,Berkshire Academy,Pomfret,Hopkins,St. Mark's,Brewster Academy,NMH,Choate,Canterbury
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,None,,,None,,,,,,None,,,,,,,,,
Dexter-Southfield,,,,,,3.45,,,,,,,,,,,,,,,,,,
Nobles,5.31,,,,,,,,,,,,,,,,,,,,,,,
Medford,,14.07,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,9.1,,,,,15.1,,,,,,,,
Middletown,,,,,,,,,,,,30.7,,,,,,,,,,,,
Bancroft,,,,,,37.0,,,,,,,,,,,,,,,,,,
Cambridge RLS,21.35,,,,,,,,,,10.1,,9.7,,,,,,,,,,,
Groton,36.1,,,,18.0,,,,,,,,9.9,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,27.88,,,,,,,,,,1.6,22.03,,,,12.58,,
Brooks,26.2,,,,38.0,,,,,,,,,,,,,,,,,,,
Middlesex,,,,,,,,,,17.3,21.8,,,,,25.1,,,,,,,,
St. Mary's-Lynn,,,,,,56.4,,,19.5,,,,,,,,,,,,,,,
BB&N,26.88,,,,36.33,,,,,4.89,18.33,,,,,,,,,,,,,
Berkshire Academy,,,,,,,39.3,,,,,,,,,,,12.5,,,45.72,,,
Pomfret,47.1,,,,,,0.7,,,,37.9,,,,,15.8,,,,,,,,
Hopkins,67.1,,,,,,17.98,,,,,9.9,,,,,11.5,14.4,,,0.44,12.16,,
St. Mark's,,,,,65.2,,5.1,,,,,,53.5,,,20.2,,4.4,,,,,,
Brewster Academy,,,,,91.4,,17.54,,,,,,,,,,,13.96,,26.2,,11.72,,
NMH,37.7,,,,79.8,,5.82,,,14.0,,,23.7,,,,,2.24,,,,,,
Choate,96.5,,,,,,,,,,60.4,,70.3,,,,,,,,,,,
Canterbury,,,,,,,74.78,,,,,48.2,,,,,49.8,68.93,38.3,,,59.48,,
