,Eagle Hill,Berwick,Nobles,Groton,Derryfield,Middlesex,Choate,Winsor,Brooks,Cambridge RLS,Taft,NMH,Middletown,Valley Regional,Greenwich Academy,Thayer,Dexter-Southfield,Lyme/Old Lyme,BB&N,Marianapolis Prep,Miss Porter's,Worcester Academy,Hopkins,Berkshire Academy,Greenwich Country Day,St. Mark's,Lincoln,St. Mary Academy-Bay View,St. Mary's-Lynn,Newton Country Day,Brewster Academy,Pomfret,Canterbury
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,-16.6,,,,,,,-42.0,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,
Middlesex,,,,,,,,,11.7,6.2,,1.8,,,,,,,4.11,,,,,,,,,,,,,,
Choate,,,,15.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,,17.88,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,10.5,,,,,13.1,,,3.2,,,,,,,,,,,,,,,,,,,,,
Taft,,,,22.5,,,2.3,2.2,,,,2.44,,,,,,,,,,,,,,,,,,,,,
NMH,,,22.0,,,,1.13,,9.9,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,,,
Valley Regional,,,,,,,,,,,,,5.1,,,,,32.4,,,,,,,,,,,,,,,
Greenwich Academy,,,,,,,15.1,,,,12.8,12.08,,,,,,,,,,,,,,,,,,,,,
Thayer,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,37.93,,
Dexter-Southfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,,
Lyme/Old Lyme,,,,,,,18.49,,,,14.92,17.36,,,6.0,,,,,,,,,,,,,,,,,,
BB&N,,,22.56,21.44,,,,5.08,3.1,17.0,,,,,,,,,,,,,,,,,,,,,,,
Marianapolis Prep,,,,,45.2,,,,,,,,,,,,,,,,,,,,29.8,,,,6.5,,,,
Miss Porter's,,,,,,,18.5,22.0,,,16.2,,,,3.4,,,10.4,,,,,,,,11.1,,,,,,,
Worcester Academy,,,,,,,,,,,,,,,,,25.2,,,,,,,,,,,,,,79.8,,
Hopkins,,,38.7,,,,,,,,22.29,17.75,,,11.0,,,5.0,,,,,,,,,,,,,,12.8,
Berkshire Academy,,,,,,,31.8,,,,29.5,,,,16.7,,,15.7,,,13.3,,10.7,,,,,,,,12.5,7.31,
Greenwich Country Day,,,,,,,32.56,,,,,,,,31.2,,,27.9,,,,,28.58,7.22,,,,,,,1.15,14.53,
St. Mark's,,,27.1,20.88,,9.4,29.4,10.9,19.7,,8.7,17.1,,,,,,,,,,,,,,,,,,,,,
Lincoln,,,,,,,,121.8,,,,,,13.0,,,,,40.33,,,,,,,,,,,,,,
St. Mary Academy-Bay View,,,,,,,,,,,,,,20.6,,,,,68.78,,,,,,,,28.44,,,95.77,,,
St. Mary's-Lynn,,24.6,,,,,,,,,,,,57.6,,5.79,,,,,,25.4,,,,,44.6,37.0,,,43.61,,
Newton Country Day,,,52.7,62.0,,9.0,47.0,28.85,56.0,35.77,,,,,,,,,13.11,,,,,,,25.6,,,,,,,
Brewster Academy,,,72.8,,,,41.36,,28.5,,37.79,40.23,,,,,,22.87,25.4,,,,,,,45.7,,,,20.1,,,
Pomfret,,,25.9,69.4,,,45.74,35.8,,,33.6,42.9,,,16.67,,,41.08,,,13.8,,,,,24.9,,,,,14.33,,
Canterbury,,,,,,,,,,,98.66,94.12,,,80.2,,,74.2,,,51.1,,69.2,58.5,48.0,,,,,,,62.53,
