,Nobles,St. Mary's-Lynn,Choate,Winsor,Cambridge RLS,Middlesex,BB&N,St. Mark's,Brooks,Groton,Berwick,Taft,Berkshire Academy,Greenwich Academy,Pingree,NMH,Lyme/Old Lyme,Hopkins,Miss Porter's,Newton Country Day,Thayer,Pomfret
Nobles,,,,,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,,,,,,,,,,,,,,
Choate,,,,,,,,,6.0,,,,,,,,,,,,,
Winsor,7.85,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,10.38,,0.8,,,,3.6,,,,,,,,,,,,
Middlesex,,,,,,,2.89,1.3,14.0,,,,,,,,,,,,,
BB&N,13.33,,,10.0,0.44,,,5.3,,0.78,,,,,,,,,,,,
St. Mark's,24.2,,1.0,4.7,,,,,,,,,,,,,,,,,,
Brooks,42.0,,,,0.9,,0.4,6.5,,,,,,,,,,,,,,
Groton,12.56,,17.0,,,,,5.76,23.0,,,,,,,,,,,,,
Berwick,,76.2,,,,,,,,,,,,,,,,,,,,
Taft,,,7.8,25.4,,,15.4,20.7,,11.5,,,,,,3.96,,,,,,
Berkshire Academy,,,39.5,,,,,,,,,31.7,,,,,,,12.4,,,27.8
Greenwich Academy,,,49.3,,,,,,,,,41.5,9.8,,,,,,22.2,,,
Pingree,,,,,,,67.3,,66.9,,,,,,,,,,,,,
NMH,31.0,,6.28,,32.6,17.7,,15.0,31.7,,,,,,,,,,,,,
Lyme/Old Lyme,,,62.56,,,,,,,,,52.32,,6.3,,56.28,,2.6,,,,
Hopkins,56.9,,,,,,,,,,,59.04,,3.7,,61.46,,,,,,
Miss Porter's,,,27.1,51.5,,,41.5,46.8,,,,19.3,,,,,,,,,,
Newton Country Day,35.3,,33.0,18.46,8.08,14.33,17.22,11.1,39.0,16.0,,,,,,,,,,,,
Thayer,,,,,,,118.3,,117.9,,,,,,51.0,,,,,,,
Pomfret,60.6,,68.36,54.5,,,44.5,49.8,,58.0,,29.1,,,,62.08,5.8,3.7,3.0,,,
