,Choate,Hanover,Nobles,NMH,Andover,BB&N,Groton,Pomfret,Middlesex,Brooks,St. Mark's,Bedford,Cambridge RLS,Newton Country Day
Choate,,,,,,,,,,,,,,
Hanover,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,
NMH,5.5,,,,,,,,,,,,,
Andover,,11.18,,,,,,,,,,,,
BB&N,,,15.33,,,,,,,,,,,
Groton,,,15.78,,,0.44,,,,,,,,
Pomfret,,,,32.2,,,,,,,,,,
Middlesex,,,,18.7,,,,,,16.2,4.1,,,
Brooks,,,51.0,2.5,,,,,,,11.4,,,
St. Mark's,15.8,,40.6,10.3,,,,,,,,,,
Bedford,,41.64,,,30.45,,,,,,,,,
Cambridge RLS,,,,31.3,,20.44,,,12.6,28.8,,,,
Newton Country Day,,,88.5,,,,,,,,47.9,,,
