,Belmont Hill,Berkshire Academy,Berwick,Canterbury,Eagle Hill,Pingree,Lyme/Old Lyme,Medford,King School,Nobles,Notre Dame,Groton,Brooks,Cambridge RLS,Suffield,Taft,Brewster Academy,BB&N,NMH,Choate,Bancroft,Middlesex,Middletown,Frederick Gunn,St. Mark's,Hopkins,Pomfret,St. Mary's-Lynn,Worcester Academy
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,,,,,,,,,,,,,,,,8.76,,,
Nobles,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,,11.0,,,,,12.4,,,,,,,,,,,,,,,,,,,,
Groton,24.1,,,,,,,,,1.33,,,0.0,,,,,,,,,,,,,,,,
Brooks,24.1,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,
Cambridge RLS,4.85,,,,,,,,,,,8.4,15.0,,,,,13.67,2.0,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,,,,,,,,50.9,,,,,,
Taft,,6.14,,,,,6.65,,,,,23.1,,,,,,15.0,5.14,,,,,,,,,,
Brewster Academy,,,33.0,,,,,23.3,,,,,,,,,,,,,,,,,,,,,
BB&N,15.0,,,,,,,,,23.67,,22.33,1.4,,,,,,,,,,,,,,,,
NMH,37.0,1.0,,,,,1.51,,,27.7,,,13.0,,,,,,,,,,,,,,,,
Choate,,7.0,,,,,41.05,,,,,,,,,37.71,,,,,,,,,,,,,
Bancroft,,,,,,,,53.9,,,,,,,,,30.6,,,,,,,,,,,,8.4
Middlesex,48.35,,,,,,,,,,,19.7,,12.8,,,,26.2,,,,,,,,,,,
Middletown,,32.0,,,,,50.2,,,,,,,,,,,,,25.0,,,,,,,,,
Frederick Gunn,,,,,,,,,,,,,,,,,,,40.42,,,,,,,28.92,44.15,,
St. Mark's,,,,,,6.0,,,,35.9,,21.6,24.8,,,3.0,,18.0,32.0,,,,,,,,,,
Hopkins,61.7,14.9,,,,,11.5,,,33.6,,,,,,,,,11.5,,,,,,,,9.3,,
Pomfret,48.5,5.64,,,,,6.15,,,24.3,,33.8,,,,17.9,,32.9,4.64,,,,,,14.9,,,,
St. Mary's-Lynn,,,99.6,,13.0,,,86.57,,,,,,,,,57.64,,,,,,,,,,,,
Worcester Academy,,,157.8,,,,,45.5,,,,,,,,,22.2,,84.0,,,,,,52.0,,,,
